fname,row_id,col_id
S0022309307006989__0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309307006989__1,"[0, 0, 0, 0, 0, 0, 0]",[]
S0022309300002970__0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309300002970__1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309300002970__2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309300002970__4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309300002970__5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309300002970__6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309309004633__0,"[0, 0, 1, 1, 3, 2, 2, 2, 2, 0, 0, 0, 0]","[(30, 12), (22, 13), (28, 10), (20, 11), (29, 11), (21, 12), (19, 10)]"
S0022309309004633__1,"[0, 0, 1, 1, 1, 1, 0, 3, 2, 2, 2, 2, 2, 0, 0, 0, 0]","[(23, 13), (35, 15), (24, 14), (25, 15), (53, 13), (51, 11), (31, 11), (52, 12), (42, 12), (54, 14), (41, 11), (55, 15), (43, 13), (44, 14), (22, 12), (33, 13), (45, 15), (32, 12), (34, 14)]"
S0022309309004633__2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309309004633__3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309309004633__4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309399007000__0,"[0, 0, 1, 1, 1, 1, 0, 0, 0, 2, 2, 2]","[(16, 10), (28, 10), (23, 11), (22, 10), (35, 11), (29, 11), (34, 10), (21, 9), (33, 9), (15, 9), (27, 9)]"
S0022309399007000__2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
