Glass,T g (degC),T c (degC),T c - T g (degC),n D,r (g cm-3)
composition,(+-2degC),(+-2degC),(+-4degC),(+-0.001),(+-0.01)
A30B30Y40,269,420,151,1.548,3.88
A30B40Y30,284,412,128,1.545,3.92
A40B30Y30,277,390,113,1.555,3.72
A40B20Y40,288,397,109,1.549,3.68
A60Y40,266,364,98,-,-
A40B40Y20,259,355,96,1.551,3.77
A50B10Y40,288,381,93,-,-
A50B30Y20,272,353,81,1.554,3.60
A50Y50,262,330,68,-,-
A60B20Y20,273,339,66,1.555,3.43
A70Y30,271,337,66,-,-
A50B20Y30,277,341,64,1.551,3.58
A20B30Y50,320,373,53,-,-
A40B10Y50,254,290,36,-,-
K70B10Y20,230,340,110,-,-
K85B10Y5,235,294,59,1.551,-
K60B10Y30,281,328,47,-,-
