Glass no.,Absorption,Energy (cm-1),O 2,O 4,O 6,S ed + S md (x10-20 cm2),F   cal   ed   +   F   cal   md     (x10-6),t rad (ms)
Glass no.,Absorption,Energy (cm-1),(x10-20 cm2),(x10-20 cm2),(x10-20 cm2),S ed + S md (x10-20 cm2),F   cal   ed   +   F   cal   md     (x10-6),t rad (ms)
TBL1,4I15/2 - 4I13/2,6532,6.31,1.76,1.05,1.89,1.74+0.66,2.95
TBL2,4I15/2 - 4I13/2,6532,6.06,1.92,1.07,1.90,1.76+0.67,2.91
TBL3,4I15/2 - 4I13/2,6532,6.05,1.93,1.15,2.02,1.89+0.67,2.72
TLL,4I15/2 - 4I13/2,6532,5.54,1.90,0.88,1.61,1.50+0.67,3.25
TNL,4I15/2 - 4I13/2,6532,6.14,1.87,1.09,1.93,1.80+0.67,2.84
Silicate [15],,,4.23,1.04,0.61,,,
Phosphate [15],,,6.65,1.52,1.11,,,
Aluminate [15],,,5.60,1.60,0.61,,,
Germanate [15],,,5.81,0.85,0.28,,,
Fluoride [15],,,2.91,1.27,1.11,,,
