"Pressure, GPa",r  ij  (A),r  ij  (A),r  ij  (A),g  ij,g  ij,g  ij,Z  ij,Z  ij,Z  ij,Z  ij
"Pressure, GPa",1-1,1-2,2-2,1-1,1-2,2-2,1-1,1-2,2-1,2-2
-0.41,3.36,1.74,2.84,2.29,12.23,3.00,4.33,4.05,2.02,9.5
-0.55*,3.26,1.74,2.84,2.37,14.23,3.25,4.39,4.08,2.04,9.8
-0.46**,3.32,1.74,2.84,2.47,13.82,3.26,4.20,4.02,2.01,8.96
0.85,3.36,1.74,2.84,2.17,11.79,2.92,4.46,4.06,2.03,10.58
2.25,3.32,1.74,2.84,2.08,11.33,2.86,4.52,4.12,2.02,11.08
4.29,3.32,1.74,2.82,1.99,10.60,2.79,4.81,4.16,2.08,11.91
6.42,3.34,1.74,2.78,1.94,10.07,2.75,4.97,4.13,2.15,11.88
8.72,3.34,1.74,2.78,1.91,9.34,2.74,5.43,4.41,2.21,12.76
12.22,3.32,1.74,2.74,1.81,8.63,2.74,5.73,4.6,2.3,13.29
15.29,3.34,1.76,2.70,1.75,8.10,2.73,6.25,4.81,2.41,13.77
23.04,3.38,1.78,2.66,1.87,7.98,3.15,7.4,5.37,2.69,15.19
27.62,3.42,1.78,2.64,1.86,7.96,3.2,7.52,5.41,2.71,15.57
32.06,3.4,1.78,2.64,1.84,7.82,3.28,7.75,5.5,2.75,15.41
35.62,3.42,1.78,2.62,1.87,7.84,3.34,7.89,5.51,2.76,15.49
48.90,3.38,1.78,2.6,2.03,7.83,3.45,8.39,5.7,2.85,11.49
