,Atomic pair,r (A) (+-0.02),N (+-0.25),s (A) (+-0.02)
Te2V2O9,Te-O,1.86,2.36,0.05
Te2V2O9,Te-O,2.10,0.82,0.05
Te2V2O9,Te-O,2.68,1.00,0.19
V-O,1.71,2.45,0.16,
V-O,1.91,2.14,0.07,
V-O,2.13,0.95,0.18,
Te2V2O9,O-O,2.73,6.7,0.06
,,,,
Li2Te2V2O10,Te-O,1.86,2.39,0.08
Li2Te2V2O10,Te-O,2.13,1.20,0.09
Li2Te2V2O10,Te-O,2.65,1.60,0.26
V-O,1.66,2.13,0.11,
V-O,1.90,2.02,0.01,
V-O,1.98,0.56,0.01,
Li-O,2.05,3.00,0.15,
Li-O,2.12,2.00,0.17,
Li2Te2V2O10,O-O,2.78,6.04,0.2
,,,,
Li4Te2V2O11,Te-O,1.88,2.08,0.13
Li4Te2V2O11,Te-O,2.15,1.55,0.10
Li4Te2V2O11,Te-O,2.72,1.62,0.14
Li4Te2V2O11,V-O,1.79,5.8,0.01
Li-O,2.07,2.88,0.12,
Li-O,2.26,2.08,0.23,
Li4Te2V2O11,O-O,2.82,5.90,0.2
