Element,Fit using individual component change slopes and intercepts,Fit using individual component change slopes and intercepts,Fit using individual component change slopes and intercepts,Fit using Eq. (5),Fit using Eq. (5),Fit using Eq. (5)
,SP+SP-3,SP(-),MS,SP+SP-3,SP(-),MS
Al,3479,3479,3785,3696,3466,3573
B,750,499,-,847,591,-
Ca,895,895,-,688,568,-
Cr,31156,31156,31093,29161,29333,31795
Fe,4099,4099,3972,4193,3880,3779
K,-98,-98,-,-450,-359,-
Li,602,286,249,751,381,359
Mg,2869,2869,3522,2537,2587,3481
Mn,2450,2450,-,2345,2465,-
Na,-1310,- 812,-1225,-404,-224,-684
Ni,13418,13418,14085,12245,12140,13823
Si,225,626,-,640,826,-
Ti,2026,2026,-,1525,1748,-
Zr,4534,4534,-,6607,4271,-
