,,Room T,"1100degC, 10degC/min","1100degC, 20degC/min","1100degC, 40degC/min","1100degC, DF"
Rwp,wt.%,,3.25,3.13,3.27,3.19
Amorphous,wt.%,65.9 (0.4),68.7 (0.2),71.1 (0.2),69. 9 (0.2),68.3 (0.2)
Andesine,wt.%,19.9 (0.2),0.7 (0.1),0.3 (0.1),0.2 (0.1),-
Augite,wt.%,5.4 (0.1),25.4 (0.1),23.2 (0.1),24.4 (0.1),26.1 (0.1)
Forsterite,wt.%,7.6 (0.1),3.5 (0.1),3.8 (0.1),4.1 (0.1),4.0 (0.1)
Spinel,wt.%,1.2 (0.1),0.3 (0.1),0.3 (0.1),0.2 (0.1),0.3 (0.1)
Hematite,wt.%,-,0.2 (0.1),-,-,-
Maghemite,wt.%,-,0.8 (0.1),0.7 (0.1),0.7 (0.1),0.7 (0.1)
Quartz,wt.%,-,0.4 (0.1),0.6 (0.1),0.5 (0.1),0.6 (0.1)
Forsterite cell volume,A3,294.60,291.36,291.96,291.89,292.42
