TeO2,ZnO,ZnCl2,PbO,PbCl2,T g (degC),T x (degC),T x-T g,d (kgm-3)
80,10,10,-,-,318,389,71,4.379
60,10,30,-,-,284,484,200,4.398
50,10,40,-,-,270,502,231,4.331
40,10,50,-,-,254,488,233,4.460
10,10,80,-,-,268,543,275,-
80,20,-,-,-,314,462,148,4.811
70,20,10,-,-,291,445,154,4.832
60,20,20,-,-,273,460,187,4.468
50,20,30,-,-,254,500,247,4.330
40,20,40,-,-,232,525,293,4.116
30,20,50,-,-,273,541,268,3.840
20,20,60,-,-,276,515,239,-
60,30,10,-,-,320,463,143,-
50,30,20,-,-,315,450,135,-
40,30,30,-,-,263,364,101,-
30,30,40,-,-,263,358,95,-
20,30,50,-,-,247,338,91,-
60,40,-,-,-,341,457,116,4.950
50,40,10,-,-,309,397,89,4.638
40,40,20,-,-,232,346,114,4.572
30,40,30,-,-,253,345,91,4.179
50,50,-,-,-,339,420,80,4.609
40,50,10,-,-,319,424,105,4.672
30,50,20,-,-,278,394,115,4.388
20,50,30,-,-,228,320,91,4.463
40,60,-,-,-,226,407,181,4.473
90,-,-,10,-,356,546,190,-
80,-,-,10,10,317,524,207,5.109
60,-,-,10,30,269,544,275,5.262
50,-,-,10,40,235,529,294,5.539
40,-,-,10,50,350,544,194,5.509
80,-,-,20,-,323,536,213,-
70,-,-,20,10,289,543,254,5.245
60,-,-,20,20,264,521,257,5.478
50,-,-,20,30,252,365,114,5.703
40,-,-,20,40,228,293,65,5.348
70,-,-,30,-,285,359,74,-
50,-,-,30,20,248,526,278,5.752
60,-,-,40,-,256,304,48,-
70,-,-,-,30,298,509,211,-
60,-,-,-,40,260,544,284,-
50,-,-,-,50,222,459,237,-
40,-,-,-,60,219,285,66,-
