Composition,Assumed P2O5,Assumed Na2O,Assumed Fe2O3
FePO4,50,0,50
Fe2(PO4)O,25,0,75
Fe3(PO4)2,25,0,75
Fe7(PO4)6,37.5,0,62.5
Fe2P2O7,33.3,0,66.7
Fe4(PO4)2O,20,0,80
Fe2P4O12,50,0,50
Fe3PO7,25,0,75
Fe9(PO4)O8,5.6,0,94.4
Fe7(P2O7)4,40,0,60
Fe3Fe4(PO4)6,28.6,0,71.4
Fe2Fe(P2O7)2,50,0,50
NaPO3,50,50,0
Na4P2O7,33.3,66.7,0
Na3PO4,25,75,0
Na5P3O10,37.5,62.5,0
NaFeP2O7,50,25,25
Na7(FeP2O7)4PO4,45,35,20
Na3Fe2(PO4)3,37.5,37.5,25
Na7Fe3(P2O7)4,44.4,38.9,16.7
NaFe3P3O12,37.5,12.5,50
Na2Fe3(PO4)3,30,20,50
Na3Fe(PO4)2,20,60,20
