Compound,State,Symmetry (approximate),Frequency (cm) a,Ref.,,
PbF   3   -,Matrix,C3v,456,[23],,
PbCl   3   -,Matrix,C3v,262,[23],,
PbCl   3   -,Soln,C3v,249,[24],,
PbF   6   4 -,Solid,Oh,372,This work,,
PbCl   6   4 -,Solid,Oh,204,[22],,
CdCl   3   -,Soln,D3h,265,[24],,
CdCl   4   2 -,"Soln, melt",Td,261,[25],,
CdCl   5   3 -,Solid,D3h,251,[24],,
CdCl   6   4 -,Solid,Oh,229,[25],,
HgCl   3   -,Soln,D3h,273,[24],,
HgCl   4   2 -,Melt,Td,267,[24],,
ZnF   3   -,Melt,-,483,This work,,
ZnF   4   2 -,Melt,Td,474,This work,,
ZnF   6   4 -,Melt,Oh,364,This work,,
