Material,Ti2p3/2,O1s,Si2p,Ba3d5/2/Sr3d5/2
Ba2TiSi2O8*0.75SiO2 glass,458.0,530.0,101.4,779.7
Ba2TiSi2O8*0.75SiO2 glass,(1.85),,(2.35),(2.0)
Ba2TiSi2O7.64*0.75SiO2 (reduced),458.7,529.9,101.7,779.9
Ba2TiSi2O7.64*0.75SiO2 (reduced),(1.7),,(2.3),(2.0)
Sr2TiSi2O8 glass,458.7,530.3,101.8,133.3
Sr2TiSi2O8 glass,(1.88),,(2.0),(1.6)
Sr2TiSi2O7.5 glass (reduced),458.3,530.3,101.8,133.3
Sr2TiSi2O7.5 glass (reduced),(2.48),,(2.2),(1.8)
Sr2TiSi2O8 polycrystalline glass ceramic,458.3,530.2,101.7,133.2
Sr2TiSi2O8 polycrystalline glass ceramic,(1.52),,(2.4),(1.5)
Ti2O3,458.3,529.6,,
Ti2O3,(1.50),(1.80),,
