#,LiI (mol%),Li2S (mol%),GeS2 (mol%),La2S3 (mol%),T g (degC) +- 3,r (g/cm3) +-0.05,s at 25degC(Ocm)-1+-3%,DE act (kJ/mol)+-1
1,0,45,50,5,337,2.93,1.34x10-4,-
2,10,40.5,45,4.5,-,-,-,-
3,20,36,40,4,272,3.04,5.11x10-4,31.0
4,30,31.5,35,3.5,230,3.09,9.68x10-4,33.6
5,40,27,30,3,-,3.15,1.54x10-3,26.3
,,,,,,,,
6,0,50,45,5,320,2.75,1.74x10-4,36.8
7,10,45,40.5,4.5,-,-,-,-
8,20,40,36,4,257,2.96,4.95x10-4,29.1
9,30,35,31.5,3.5,223,3.04,1.28x10-3,29.9
10,40,30,27,3,218,-,1.62x10-3,26.6
,,,,,,,,
11,0,40,55,5,333,-,8.82x10-6,-
12,10,36,49.5,4.5,-,-,-,-
13,20,32,44,4,282,-,4.62x10-5,-
14,30,28,38.5,3.5,253,3.03,4.08x10-5,34.5
15,0,35,60,5,331,2.92,-,-
