S. No.,Excited state,x =8,x =8,x =12,x =12,x =16,x =16,x =20,x =20,x =24,x =24
S. No.,Excited state,A T,t R,A T,t R,A T,t R,A T,t R,A T,t R
,Sm3+,Sm3+,Sm3+,Sm3+,Sm3+,Sm3+,Sm3+,Sm3+,Sm3+,Sm3+,Sm3+
1,4G5/2,393,2545,322,3105,388,2577,428,2337,426,2345
2,6F11/2,1563,640,1271,787,1509,663,1629,614,1617,618
3,6F9/2,1336,748,1087,919,1295,772,1404,712,1395,716
4,6F7/2,952,1050,779,1283,935,1069,1017,983,1009,990
5,6F5/2,607,1648,509,1963,612,1632,666,1501,648,1544
6,6F3/2,414,2414,354,2822,423,2365,452,2211,442,2263
7,6F1/2,309,3233,272,3671,321,3116,342,2925,328,3045
,,,,,,,,,,,
,Dy3+,Dy3+,Dy3+,Dy3+,Dy3+,Dy3+,Dy3+,Dy3+,Dy3+,Dy3+,Dy3+
1,4I15/2,1023,968,1366,732,825,1213,1141,876,1312,762
2,4F9/2,2778,360,3327,300,1994,501,2603,384,2827,353
3,6F3/2,1529,654,2308,433,1428,700,2223,450,2728,366
4,6F5/2,1721,581,2553,392,1567,638,2431,411,2993,334
5,6F11/2(6H9/2),3149,317,3607,277,2128,470,2489,401,2574,388
