TMO,T g(s) (degC),T g(mp) (degC),Tx1(s) (degC),DT TS (K),T x1 (degC),T x2 (degC),T liq (degC),T g(s)/T liq (K/K)
None,442+-1,452+-1,621+-1,169,655+-1,720+-1,951+-1,0.584
Ta(0.2),444+-2,455+-1,626+-1,171,660+-2,732+-0,944+-1,0.598
Ta(0.5),447+-2,457+-1,636+-1,179,670+-1,732+-0,944+-1,0.600
Ta(1),447+-3,458+-0,642+-1,184,678+-0,738+-1,940+-0,0.603
Ta(1.5),452+-2,464+-1,666+-1,202,700+-1,756+-1,940+-1,0.608
Ta(2),457+-1,467+-0,678+-1,211,713+-1,772+-2,938+-0,0.611
Ta(3),459+-1,471+-0,691+-1,220,729+-1,No peak,938+-1,0.614
Ta(4),468+-3,481+-1,729+-3,248,772+-2,No peak,932+-1,0.626
Ta(5),475+-2,491+-1,722+-9,231,797+-5,No peak,933+-2,0.633
Ta(6.5),488+-5,505+-0,Not resolved,-,783+-6,No peak,933+-7,0.645
Ta(8),498+-2,515+-2,Not resolved,-,821+-26,No peak,985+-15,0.626
