Transition,n,D exp,D calc,D exp - D calc,D calc/D exp
- 6H5/2,(cm-1),(10-6 Debye2),(10-6 Debye2),(10-6 Debye2),
"6H15/2,6F3/2,6F1/2",6750,649,644,+5,0.99
6F5/2,7260,557,585,-28,1.05
6F7/2,8140,703,748,-45,1.06
6F9/2,9280,446,413,+33,0.93
6F11/2,10 590,59,58,+1,0.98
"4G7/2,4I9/2;4M15/2,4I11/2, 4I13/2",20 970,189,88,+101,0.46
"4F5/2,4M17/2,4G9/2,4I15/2",22 800,30,12,+18,0.40
"6P5/2,4P5/2,4L13/2,4F7/2,6P3/2,",24 910,485,416,+69,0.86
"4K11/2,4M21/2,4L15/2,4G11/2",,,,,
"4D1/2,6P7/2,4L17/2,4K13/2,4F9/2",26 730,69,88,-19,1.28
"4D3/2,4D5/2,6P5/2,4H7/2",27 700,82,84,-2,1.02
"4K15/2,4H9/2,4D7/2",29 100,50,43,+7,0.86
