Sample,S v x10-6 (cm-1),V v,r p (nm),G v x10-19 (cm-3),K p x1019 (m2),Time (min),Cu (%)
A,1.6+-0.1,0.66+-0.04,8.1+-0.3,0.020+-0.001,54+-8,10,0.565+-0.002
,,,,,,100,0.593+-0.002
,,,,,,10000,0.715+-0.003
B,11.6+-0.7,0.65+-0.05,1.1+-0.1,7+-2,1.0+-0.2,10,0.029+-0.001
,,,,,,100,0.074+-0.001
,,,,,,10000,0.096+-0.001
C,13.9+-0.7,0.85+-0.06,1.2+-0.1,20+-5,1.60+-0.3,10000,0.048+-0.001
D,11.8+-0.7,0.68+-0.05,1.2+-0.1,8+-2,1.10+-0.2,10000,0.054+-0.001
E,5.9+-0.4,0.42+-0.04,1.5+-0.1,0.9+-0.2,1.10+-0.2,10000,0.193+-0.001
F,8.5+-0.5,0.48+-0.04,1.1+-0.1,2.4+-0.6,0.80+-0.1,10000,0.064+-0.001
