No,TeO2-PbO,B2O3,SiO2,Glass-forming
TP1,100% (20-80),5,,Crystallized
TP2,95% (20-80),13,,Crystallized
TP4,97% (20-80),,,Crystallized
TP14,94% (20-80),4,2,Crystallized
TP3,85% (20-80),15,,Glass
TP5,86% (20-80),14,,Glass
TP6,89% (20-80),11,,Glass
TP7,90% (20-80),10,,Glass
TP10,90% (20-80),8,2,Glass
TP13,93% (20-80),5,2,Glass
TP8,50-50,,,Crystallized
TP9,100%(60-40),,,Glass/little cry
TP19,95%(60-40),5,,Glass
TP16,96%(60-40),4,,Glass
TP17,96%(60-40),2,2,Glass
TP21,97%(60-40),3,,Glass
TP23,97%(60-40),2,1,Glass
TP11,98%(60-40),,2,Glass/little cry
TP18,98%(60-40),2,,Glass
TP24,98%(60-40),1,1,Glass
TP25,99%(60-40),1,,Glass
