[Na2O] in mol%,[MgO] in mol%,[Al2O3] in mol%,D (1600 degC) in cm2 s-1,D 0 in cm2 s-1,E D in kJmol-1
5,10,10,2.57x10-6,11.8,238
10,10,10,2.63x10-6,9,235
15,10,10,4.47x10-6,15.2,233
20,10,10,4.17x10-6,8.1,222
10,10,0,1.55x10-6,0.94,209
10,10,5,1.66x10-6,27,258
10,10,15,4.07x10-6,15.7,233
10,10,20,7.08x10-6,8.3,216
10,15,0,2.82x10-6,8.2,231
10,20,0,4.90x10-6,5.4,216
10,5,10,2.57x10-6,60,263
10,15,10,5.01x10-6,7.6,221
10,20,10,1.20x10-5,23.8,227
10,15,15,7.94x10-6,104,253
10,20,15,1.17x10-5,23.3,226
