Glass,DH ds    (kJ/mol),DH TTD-DH vitr (kJ/mol),"DH f,oxide (kJ/mol)",DH vitr (kJ/mol),,
LaAlO3,32.9+-0.5 (8),16.9+-0.3 (7),11.1+-0.7,78.5+-1.3,,
PrAlO3,48.8+-0.3 (6),31.1+-0.1 (6),20.5+-0.4,66.5+-1.5,,
NdAlO3,49.6+-0.4 (8),31.2+-0.4 (8),17.0+-0.7,69.9+-1.6,,
SmAlO3,50.7+-0.2 (5),36.9+-0.4 (5),23.2+-0.4,63.8+-1.4,,
GdAlO3,43.2+-0.3 (6),32.2+-0.4 (4),29.4+-0.4,63.5+-1.7,,
DyAlO3,41.6+-1.3,,42.0+-1.3,67.2+-3.4,,
YAlO3,29.9+-2.5,,46.7+-2.6,69.6+-4.0,,
ErAlO3,39.1+-1.2,,46.4+-1.3,64.8+-3.4,,
,,,,,,
Crystal,,DH TTD (kJ/mol),,DH elem (kJ/mol),"DH s,1178 K   (kJ/mol)","DH s,997 K   (kJ/mol)"
LaAlO3,111.4+-2.2,95.4+-1.3 (5),-67.4+-1.5,-1801.6+-1.5,16.0+-1.9,16.6+-1.2
PrAlO3,117.2+-2.2,97.6+-1.5 (6),-46.1+-1.6,-1789.5+-1.6,,
NdAlO3,117.0+-2.2,101.1+-15 (6),-52.9+-1.7,-1794.1+-1.8,18.5+-2.2,15.3+-2.9
SmAlO3,115.2+-2.2,100.7+-1.4 (6),-40.6+-1.5,-1790.0+-1.6,13.8+-2.0,14.3+-2.5
GdAlO3,106.4+-2.2,95.7+-16 (6),-34.1+-1.7,-1785.0+-1.8,11.0+-2.4,12.5+-1.2
,106.7+-0.5 (5),,,,,
DyAlO3,108.8+-3.6,94.2,-25.2+-3.1,-1794.6+-3.1,14.6+-3.6,12.4+-1.2
YAlO3,99.4+-4.8,93.3,-22.8+-3.1,-1813.4+-3.1,6.1+-4.8,9.2+-1.7
ErAlO3,104.0+-3.6,92.5,-18.5+-3.1,-1805.3+-3.1,11.5+-3.6,
