,Rsol(Ocm2),CPEcoat,CPEcoat,Rpor(Ocm2),CPEox,CPEox,Rox(Ocm2),Ceff (Fcm-2),Ceff (Fcm-2)
,Rsol(Ocm2),Q(O cm-2 sa),a,Rpor(Ocm2),Q(O cm-2 sa),a,Rox(Ocm2),Mean,SD
TMS,TMS,TMS,TMS,TMS,TMS,TMS,TMS,TMS,TMS
0,60,1.28E-09,0.96,6.36E+09,-,-,-,6.57E-10,7.06E-11
30,60,9.59E-09,0.81,3.10E+05,1.08E-06,0.70,6.88E+07,5.33E-10,1.98E-11
,,,,,,,,,
T-BG,T-BG,T-BG,T-BG,T-BG,T-BG,T-BG,T-BG,T-BG,T-BG
0,60,2.18E-09,0.95,3.50E+05,1.01E-08,0.60,Inf,9.02E-10,3.97E-11
30,60,2.71E-08,0.75,1.70E+05,9.99E-08,0.71,Inf,3.87E-10,1.37E-10
,,,,,,,,,
T-BGSr,T-BGSr,T-BGSr,T-BGSr,T-BGSr,T-BGSr,T-BGSr,T-BGSr,T-BGSr,T-BGSr
0,60,1.82E-09,0.96,8.57E+05,8.45E-09,0.64,Inf,8.70E-10,6.95E-11
30,60,2.02E-08,0.78,3.06E+04,1.27E-06,0.61,Inf,5.49E-10,1.51E-11
