"Volume range, A3","Pressure, GPa","Pressure, GPa","Pressure, GPa","Pressure, GPa","Pressure, GPa","Pressure, GPa","Pressure, GPa","Pressure, GPa","Pressure, GPa","Pressure, GPa","Pressure, GPa"
"Volume range, A3",-0.41,0.85,4.29,8.72,12.22,15.29,23.04,27.62,32.06,35.62,48.90
0-14.71,1485,1543,1790,2085,2243,2294,2372,2512,2570,2558,2738
14.71-29.42,196,220,228,227,196,161,118,84,84,70,34
29.42-44.13,98,101,86,46,17,18,2,3,1,1,0
44.13-58.84,43,39,16,4,3,3,0,0,0,0,0
58.84-73.55,19,14,3,1,0,1,0,0,0,0,0
73.55-88.26,9,5,3,0,0,0,0,0,0,0,0
88.26-102.97,4,4,0,0,0,0,0,0,0,0,0
102.97-117.68,6,2,0,0,0,0,0,0,0,0,0
117.68-132.39,3,1,0,0,0,0,0,0,0,0,0
132.39-147.1,3,0,0,0,0,0,0,0,0,0,0
>147.1,1,1,0,0,0,0,0,0,0,0,0
