Glass,Tm2O3 (wt%),Yb2O3 (wt%),Ho2O3 (wt%),T g +-1(degC),T x +-1(degC),T x-T g (degC),r +-0.01 (g/cm3)
Undoped TZN,-,-,-,315,427,112,5.33
TT05,0.5,-,-,316,434,118,5.31
TT10,1,-,-,317,441,124,5.32
TT15,1.5,-,-,318,448,130,5.34
TT25,2.5,-,-,321,464,143,5.33
TTY20,1,2,-,322,462,140,5.37
TTY30,1,3,-,326,466,140,5.39
TTY40,1,4,-,328,478,150,5.41
TTY50,1,5,-,332,474,142,5.46
TTH05,1,-,0.5,315,439,124,5.42
TTH07,1,-,0.7,315,440,125,5.33
TTH10,1,-,1,317,436,119,5.34
TTH15,1,-,1.5,317,435,118,5.33
TTYH,1,5,0.15,329,472,143,5.43
