,,NBS1,NBS2 (fc),NBS2 (qu1),NBS2 (qu2)
E,GPa,80.5+-0.2,53.1+-0.4,52.7+-0.2,53.6+-0.2
H,GPa,7.41+-0.03,5.79+-0.16,6.31+-0.05,6.35+-0.05
S 2/P,GPa,1123+-60,615+-31,578+-28,589+-29
Kc,MPa*m1/2,0.48+-0.02,1.20+-0.10,0.95+-0.02,0.82+-0.06
hf /hmax,-,0.47+-0.02,0.35+-0.03,0.33+-0.06,0.30+-0.04
hpile-up /hmax,-,0.046+-0.004,0.036+-0.004,0.035+-0.004,0.033+-0.005
VR,%,57.0+-0.6,61.6+-4.2,78.5+-1.7,80.3+-8.0
v  SiOSi   initial (next/center),cm-1,505.5/509.5,455.5/460.7,463.4/473.9,462.1/473.9
v  SiOSi   annealed (next/center),cm-1,506.7/505.7,454.3/456.5,458.6/464.1,459.3/465.8
"P ini, 50%",N,1.47,2.78,5.96,6.55
