Transition,n,D exp,D calc,D exp - D calc,D calc/D exp
- 5I8,(cm-1),(10-6 Debye2),(10-6 Debye2),(10-6 Debye2),
5I7,5100,583,588,-5,1.01
5I6,8680,178,249,-71,1.40
5I5,11 220,31,36,-5,1.16
5F5,15 610,392,392,0,1.00
"5F4,5S2",18 610,472,421,+51,0.89
5F3,20 590,144,113,+31,0.78
5F2,21 140,83,63,+20,0.76
3K8,21 380,40,80,-40,2.00
"5G6,5F1",22 100,1328,1333,-5,1.00
5G5,23 940,238,258,-20,1.08
"3K7,5G4",25 930,46,43,+3,0.93
"5G5,3H6",27 750,321,274,+47,0.85
"5G3,3L9,5F2",28 940,44,68,-24,1.54
"3F4,3K6",29 960,55,64,-9,1.16
