Transition,A ED (s-1),A MD (s-1),A tot (s-1),b R,SA (s-1),t R (ms)
5D4 -7F0,3.8,0,3.8,0.018,206,4.9
7F1,5.8,0,5.8,0.028,,
7F2,5.2,0,5.2,0.025,,
7F3,12,5.3,17,0.083,,
7F4,12,0.2,12,0.058,,
7F5,100,44,144,0.700,,
7F6,18,0,18,0.087,,
,,,,,,
,,,,,,
5D3 -7F0,0,0,0,0,315,3.2
7F1,23,0,23,0.073,,
7F2,39,5.2,44,0.140,,
7F3,18,0.9,19,0.060,,
7F4,102,50,152,0.482,,
7F5,58,0,58,0.184,,
7F6,19,0,19,0.060,,
,,,,,,
,,,,,,
5G6 -7F0,0,0,0,0,375,2.7
7F1,0,0,0,0,,
7F2,0,0,0,0,,
7F3,0,0,0,0,,
7F4,30,0,30,0.080,,
7F5,105,23,128,0.341,,
7F6,132,85,217,0.579,,
,,,,,,
,,,,,,
5L10 -5D4,51,0,51,0.131,388,2.6
7F4,90,0,90,0.232,,
7F5,4.9,0,4.9,0.013,,
7F6,242,0,242,0.624,,
