Properties,NaBSi3O8,NaBSi3O8,NaBSi3O8,CsAlSi2O6,CsAlSi2O6,CsAlSi2O6
Properties,Experiment,Simulation,Difference (%),Experiment,Simulation,Difference (%)
a (A),7.83,7.47,4.67,13.69,13.68,0.28
b (A),12.36,12.86,4.06,13.69,13.68,0.28
c (A),6.80,6.97,2.51,13.69,13.68,0.28
a (deg),93.31,93.43,0.13,90.0,89.99,0.10
b (deg),116.35,114.38,1.70,90.0,89.99,0.10
g (deg),92.05,91.89,0.17,90.0,89.99,0.10
dSi-O (A),1.61,1.62,0.62,1.60,1.64,2.44
dB-O (A),1.47,1.55,5.16,,,
dAl-O (A),,,,1.60,1.63,2.44
dNa-O (A),2.53,2.45,3.26,,,
dCs-O (A),,,,3.49,3.41,2.34
V (A3),587.8,607.7,3.39,2565.7,2558.4,0.28
