Glass ID,Composition (mol %),Composition (mol %),Composition (mol %),Composition (mol %),Composition (mol %),Composition (mol %),Color,Form,Nature
Glass ID,SiO2,B2O3,BaO,K2O,Al2O3,BaCl2,Color,Form,Nature
N1,42.00,30.00,20.00,4.0,4.0,0,Colorless,Transparent monolith,Glass
N2,39.90,28.50,19.00,3.8,3.8,5.0,Colorless,Transparent monolith,Glass
N3,38.85,27.75,18.50,3.7,3.7,7.5,Colorless,Transparent monolith,Glass
N4,37.80,27.00,18.00,3.6,3.6,10.0,Colorless,Transparent monolith,Glass
N5,35.70,25.50,17.00,3.4,3.4,15.0,Colorless,Transparent monolith,Glass
N6,33.60,24.00,16.00,3.2,3.2,20.0,Colorless,Transparent monolith,Glass
N7,32.55,23.25,15.50,3.1,3.1,22.5,Colorless,Transparent monolith,Glass
N8,31.50,22.50,15.00,3.0,3.0,25.0,Whitish,Translucent monolith,Glass
N9,30.45,21.75,14.50,2.9,2.9,27.5,White,Opaque broken pieces,Crystallized solid
N10,29.40,21.00,14.00,2.8,2.8,30.0,White,Opaque broken pieces,Crystallized solid
