,sb dry,sb dry,,sb-11,sb-11,,sb-12,sb-12,,sb-16,sb-16,,sb-14,sb-14,,sb-18,sb-18,,sb-17,sb-17
,T,C P,,T,C P,,T,C P,,T,C P,,T,C P,,T,C P,,T,C P
,K,J/molK,,K,J/molK,,K,J/molK,,K,J/molK,,K,J/molK,,K,J/molK,,K,J/molK
g,340.2,50.714,g,340.2,50.118,g,340.2,50.289,g,340.2,49.726,g,340.2,49.206,g,340.1,49.200,g,340.2,49.665
g,365.2,52.657,g,365.2,52.097,g,365.2,52.237,g,365.2,51.698,g,365.2,51.199,g,365.2,51.082,g,365.2,51.621
g,390.2,54.462,g,390.2,53.885,g,390.2,54.006,g,390.2,53.499,g,390.2,53.018,g,390.2,52.845,g,390.2,53.420
g,415.2,56.031,g,415.2,55.471,g,415.2,55.579,g,415.2,55.093,g,415.2,54.653,g,415.2,54.425,g,415.2,54.982
g,440.2,57.473,g,440.2,56.917,g,440.2,57.005,g,440.2,56.578,g,440.2,56.176,g,440.2,55.865,g,440.2,56.552
g,465.2,58.826,g,465.2,58.245,g,465.2,58.320,g,465.2,57.913,g,465.2,57.576,g,465.2,57.201,g,465.2,57.985
g,490.2,60.024,g,490.2,59.456,g,490.2,59.538,g,490.2,59.151,g,490.2,58.841,g,490.2,58.500,g,490.2,59.328
g,515.2,61.166,g,515.2,60.611,g,515.2,60.703,g,515.2,60.341,g,515.2,60.106,g,515.2,59.683,g,515.2,60.530
g,540.2,62.117,g,540.2,61.556,g,540.2,61.614,g,540.2,61.328,g,540.2,61.173,g,540.2,60.732,g,540.2,61.556
g,565.3,63.043,g,565.3,62.492,g,565.3,62.531,g,565.3,62.340,g,565.3,62.183,g,565.3,61.754,g,565.3,62.605
g,590.3,63.843,g,590.3,63.341,g,590.3,63.398,g,590.3,63.274,g,590.3,63.165,g,590.3,62.734,g,590.3,63.776
g,615.3,64.653,g,615.3,64.016,g,615.3,64.212,g,615.3,64.176,g,615.3,63.807,g,615.2,63.661,,,
g,640.3,65.403,g,640.3,64.753,g,640.3,64.963,g,640.3,64.804,g,640.3,65.063,g,640.3,64.907,,,
g,665.3,66.155,g,665.3,65.889,g,665.3,65.704,g,665.3,65.671,g,665.3,66.631,g,665.3,65.958,,,
g,690.2,66.674,g,690.3,66.417,g,690.3,66.483,g,690.3,66.469,g,690.3,66.984,gt,690.2,67.653,,,
g,715.3,67.271,g,715.3,67.082,g,715.3,67.177,g,715.3,67.487,g,715.3,67.959,gt,715.2,69.873,,,
g,740.3,67.966,g,740.3,67.728,g,740.3,67.989,gt,740.3,68.623,gt,740.3,69.078,gt,740.3,73.691,,,
g,765.3,68.568,g,765.3,68.431,g,765.3,68.774,gt,765.3,70.019,gt,765.3,74.641,gt,765.2,86.196,,,
g,790.3,69.024,g,790.3,69.107,g,790.3,69.660,gt,790.3,71.669,gt,790.3,80.796,(l,790.2,100.44),,,
g,815.3,69.673,g,815.3,69.893,gt,815.3,70.653,gt,815.3,74.404,l,815.3,95.940,(l,815.3,121.87),,,
g,840.3,70.297,gt,840.3,70.900,gt,840.3,72.069,gt,840.3,84.973,l,840.3,98.474,(l,840.3,48.576),,,
g,865.3,71.022,gt,865.3,71.917,gt,865.3,74.412,l,865.3,97.863,l,865.3,99.099,,,,,,
g,890.3,71.287,gt,890.3,73.349,gt,890.3,82.055,l,890.3,96.679,,,,,,,,,
gt,915.3,72.147,gt,915.3,75.540,l,915.3,97.903,l,915.3,95.244,,,,,,,,,
gt,940.3,72.947,gt,940.3,86.998,l,940.3,96.454,,,,,,,,,,,,
gt,965.3,74.209,l,965.3,97.118,l,965.3,95.062,,,,,,,,,,,,
gt,990.3,76.296,l,990.3,94.792,,,,,,,,,,,,,,,
gt,1015,89.617,l,1015,93.481,,,,,,,,,,,,,,,
