Excitation wavelength (nm),Excitation wavelength (nm),7F1,7F1,7F1,7F2,7F2,7F2,7F2,7F2
Excitation wavelength (nm),Excitation wavelength (nm),B 1,A 2,B 2,A 1,B 2,A 2,A 1,B 1
575,Obs.,137,389,702,883,1017,1200,1312,1432
,Calc.,141,383,701,886,1021,1200,1311,1432
575.5,Obs,143,388,684,890,1011,1174,1279,1407
,Calc.,144,388,687,891,1012,1174,1279,1407
576,Obs.,151,382,657,900,1000,1141,1232,1380
,Calc.,152,389,659,897,997,1140,1232,1380
576.5,Obs.,160,379,639,906,986,1112,1210,1357
,Calc.,163,386,640,903,982,1112,1211,1356
577,Obs,176,375,616,916,976,1089,1187,1321
,Calc.,178,382,617,913,972,1089,1186,1321
577.5,Obs,189,376,593,919,986,1073,1166,1297
,Calc.,191,384,598,917,980,1072,1164,1297
578,Obs.,209,371,569,919,980,1059,1146,1266
,Calc.,211,377,577,918,978,1057,1144,1263
578.5,Obs.,223,367,540,918,976,1044,1137,1247
,Calc.,227,366,551,921,976,1039,1129,1246
579,Obs.,237,364,511,920,974,1027,1111,1223
,Calc.,241,363,523,924,976,1022,1107,1222
579.5,Obs.,257,360,488,919,967,1014,1097,1208
,Calc.,260,355,499,927,971,1007,1090,1209
