Compositions,GeO2 (mol%),TeO2 (mol%),ZnO (mol%),BaCO3 (mol%),Er2O3 (mol%),Density (g/cm3),Mole volume (cm3/mol),Er3+ content 1x1020,Refractive indexes
Uncertainty,+-0.01,+-0.01,+-0.01,+-0.01,+-0.01,+-0.1,+-0.1,+-0.1,+-0.01
GT08,0,80.00,10.00,10.00,0.50,5.5,29.7,2.0,1.98
GT17,10.00,70.00,10.00,10.00,0.50,5.1,29.6,2.0,1.94
GT26,20.00,60.00,10.00,10.00,0.50,5.0,29.3,2.0,1.90
GT35,30.00,50.00,10.00,10.00,0.50,4.8,29.1,2.1,1.85
GT44,40.00,40.00,10.00,10.00,0.50,4.7,28.5,2.1,1.84
GT53,50.00,30.00,10.00,10.00,0.50,4.5,29.0,2.1,1.81
GT62,60.00,20.00,10.00,10.00,0.50,4.4,28.3,2.1,1.76
GT71,70.00,10.00,10.00,10.00,0.50,4.4,27.1,2.2,1.75
GT80,80.00,0,10.00,10.00,0.50,4.3,26.1,2.3,1.73
