Sample code,Batch composition (mol%),Batch composition (mol%),Batch composition (mol%),Batch composition (mol%),Mo/P (Molar ratio),O/P (Molar ratio),Fe/P (Molar ratio),Sr/P (Molar ratio),Fe/Fetot  a (+-0.03%),D (gcm-1) (+-0.5%),R Fe-Fe (A) (+-0.5%),R Mo-Mo (A) (+-0.5%)
Sample code,MoO3,Fe2O3,SrO,P2O5,Mo/P (Molar ratio),O/P (Molar ratio),Fe/P (Molar ratio),Sr/P (Molar ratio),Fe/Fetot  a (+-0.03%),D (gcm-1) (+-0.5%),R Fe-Fe (A) (+-0.5%),R Mo-Mo (A) (+-0.5%)
Series A,Series A,Series A,Series A,Series A,Series A,Series A,Series A,Series A,Series A,Series A,Series A,Series A
A1,5,38,-,57,0.04,3.6,0.67,-,0.16,2.89,3.07,7.34
A2,10,36,-,54,0.09,3.8,0.67,-,0.18,3.14,3.04,5.66
A3,15,34,-,51,0.15,3.9,0.67,-,0.17,3.14,3.09,4.95
A4,20,32,-,48,0.21,4.1,0.67,-,0.15,3.06,3.18,4.53
,,,,,,,,,,,,
Series B,Series B,Series B,Series B,Series B,Series B,Series B,Series B,Series B,Series B,Series B,Series B,Series B
B1,5,35,-,60,0.04,3.5,0.58,-,0.15,3.01,3.11,7.24
B2,10,30,-,60,0.08,3.5,0.50,-,0.14,2.97,3.29,5.77
B3,15,25,-,60,0.13,3.5,0.42,-,0.11,2.94,3.51,5.06
B4,20,20,-,60,0.17,3.5,0.33,-,NM,2.88,3.80,4.63
,,,,,,,,,,,,
Series C,Series C,Series C,Series C,Series C,Series C,Series C,Series C,Series C,Series C,Series C,Series C,Series C
C1,5,40,-,55,0.05,3.7,0.73,-,0.20,3.00,2.98,7.24
C2,10,40,-,50,0.10,4.0,0.80,-,0.22,3.14,2.93,5.66
C3,15,40,-,45,0.17,4.3,0.89,-,0.26,3.29,2.89,4.87
,,,,,,,,,,,,
Series M,Series M,Series M,Series M,Series M,Series M,Series M,Series M,Series M,Series M,Series M,Series M,Series M
M1,-,38,5,57,-,3.5,0.67,0.04,0.26,3.20,2.96,-
M2,-,36,10,54,-,3.6,0.67,0.09,0.27,3.16,3.03,-
M3,-,32,20,48,-,3.7,0.67,0.21,0.25,3.23,3.13,-
