Mol% PbO,Q 4,Q 4,Q 3,Q 3,Q 2,Q 2,Q 1,Q 1,Q 0,Q 0
Mol% PbO,-d (hwhm),I,-d (hwhm),I,-d (hwhm),I,-d (hwhm),I,-d (hwhm),I
31,109.2 (4.8),26.6,97.4 (6.7),53.2,87.5 (6.6),20.2,,,,
35.5,108.8 (5.2),21.8,96.8 (6.7),52.3,87.2 (6.7),25.9,,,,
40.5,109.1 (4.1),10.6,96.8 (6.6),48.1,87.2 (6.6),41.3,,,,
46.5,108.2 (5.0),6.7,95.8 (6.1),35.6,86.8 (6.1),50,79.9 (4.6),7.6,,
50.5,106.4 (4.9),5.9,95.3 (5.8),30.1,86.6 (6.0),51.1,79.7 (4.6),12.8,,
55,,,94.2 (5.6),18.4,86.2 (5.5),49.8,79.8 (4.6),31.8,,
60.5,,,93.9 (5.4),14.4,85.7 (5.1),35.6,79.6 (4.7),42.8,75.2 (3.9),7.2
67.2,,,93.8 (5.4),4.5,85.6 (5.3),30.9,79.3 (4.5),52.3,75.2 (4.1),12.3
70.4,,,,,85.5 (5.3),24.7,79.2 (4.6),55.3,75 (4.1),20
73,,,,,85.5 (5.2),20.2,79 (4.6),56.1,75 (4.1),23.7
