Name,Diagonals di  (mm),Diagonals di  (mm),c(mm),HV  (MPa),CR  (g),K  C   VIF  (MPa*m1/2),Pid  (mm),V  i  + (mm3),V  i  - (mm3),V  i  +/V  i  - (%),V  a  - (mm3),V  a  + (mm3),Pad  (mm),VR,VP
Name,d 1,d 2,c(mm),HV  (MPa),CR  (g),K  C   VIF  (MPa*m1/2),Pid  (mm),V  i  + (mm3),V  i  - (mm3),V  i  +/V  i  - (%),V  a  - (mm3),V  a  + (mm3),Pad  (mm),VR,VP
SBN 12,10.4,10.6,37+-2 300g,8200+-300,270,0.98+-0.09 300g,1.012,5,36.7,13.6,4,14.4,0.665,52.8,16.3
SBN 25,12.0,12.2,14.1+-0.6,6340+-100,26,0.69+-0.07,1.037,13,54.8,23.7,12,31.1,0.805,30.8,25.6
SBN 30,12.7,13.3,15+-1,5400+-200,32,0.61+-0.06,1.19,17,62,27.4,16.3,47.2,0.912,12.6,28.6
SBN 35,13.5,13.7,16.7+-0.8,4900+-300,29,0.56+-0.06,1.2,19.1,70.1,27.3,15.5,60.2,1.08,9,32.4
SBN 14,11.2,11.3,11.9+-3,7200+-300,45,0.81+-0.08,0.88,7,35.2,19.8,10,26.1,0.822,34.3,11.3
SBN 63,12,11.9,13+-3,6400+-200,38,0.74+-0.05,0.99,10.8,49.3,21.9,9,31.7,0.844,32,25.6
SBN 59,13.1,13.1,13.9+-0.9,5370+-90,37,0.71+-0.07,1.03,12,55.3,21.7,15,41.7,0.846,30,16.3
SBN 55,14,13.25,15.1+-4,4900+-100,40,0.65+-0.05,1.1,12,56.8,21.1,15,43.9,0.857,28,15.8
