Glass,Nd2O3 (mol%),O2 (10-20  cm 2),O4 (10-20  cm 2),O6 (10-20  cm 2),gof (10-7),P exp  (10-5),P cal  (10-5),r(g/cm 3)
ACF4,7.01,5.52+-0.25,3.45+-0.35,4.85+-0.33,3.84,3.70,3.68,3.015
ACF4-1,7.51,5.11+-0.30,3.22+-0.28,4.57+-0.38,4.50,3.51,3.44,3.044
ACF4-2,8.01,5.24+-0.27,3.27+-0.25,4.47+-0.35,4.14,3.51,3.45,3.079
ACF4-3,10.01,5.13+-0.19,3.32+-0.18,4.48+-0.24,2.87,3.50,3.46,3.326
ACF4-4,12.01,5.37+-0.28,3.70+-0.26,5.00+-0.35,4.17,3.85,3.79,3.386
ACF4-5,14.01,10.14+-1.36,3.25+-0.10,4.40+-0.14,1.63,2.15,2.15,3.559
ACF4-6,17.01,12.37+-2.77,3.03+-0.15,6.40+-1.43,0.69,1.30,1.31,3.784
ACF4-7,20.01,16.04+-2.09,5.37+-0.16,7.52+-0.22,2.51,3.59,3.59,4.067
ACF4-8,22.51,9.79+-1.52,2.56+-0.08,5.07+-0.77,0.81,1.13,1.14,4.243
ACF4-9,25.01,7.75+-0.73,3.02+-0.06,3.65+-0.08,0.88,1.87,1.86,4.432
