Wavenumber (cm-1),Wavenumber (cm-1),Assignments
Glasses,Glass ceramics,Assignments
440-458,448-451,Bi-O bonds in BiO6 units
,476-486,Bi-O bend in BiO3 units
527-542,500-535,Bi-O bend in BiO6 units
,588-590,Bi-O- stretch in BiO6 units
,601-614,
701-703,697-714,B-O-B bend
,765-775,O3B-O-BO4 bend
,825-834,Bi-O stretch in BiO3 units
857-868,861-869,Bi-O bonds in BiO6 units
,885-899,"B-O stretch in BO4 units from tri-, tetra- and penta-borate groups"
932-975,949-972,B-O stretch in BO4 units from di-borate groups
1029-1036,1007-1039,"B-O stretch in BO4 units from tri-, tetra- and penta-borate groups"
1192-1206,1175-1223,B-Osymm stretch in BO3 units from pyro- and ortho-borate groups
1298-1319,1269-1322,B-O stretch in BO3 units from varied types of borate groups
1424-1430,1363-1412,B-O- stretch in BO2O- units from varied types of borate groups
