Glass and Cation type M,CN [6],"dM-O (A, [6])",s(MO) [6],dNdO in A,s(NdO),Bond valence model for NBO and total bond valence,Bond valence model for NBO and total bond valence,Mean Nd coordination number to NBO
Li glass,Li glass,Li glass,Li glass,Li glass,Li glass,Li glass,Li glass,Li glass
Li+,4,1.99,0.27,2.48,0.375,2 Li+,2.01,8
Ca2+,6,2.36,0.35,,,1 Li+ and 1 Ca2+,2.09,
,,,,,,,,
Na glass (=CaNa30),Na glass (=CaNa30),Na glass (=CaNa30),Na glass (=CaNa30),Na glass (=CaNa30),Na glass (=CaNa30),Na glass (=CaNa30),Na glass (=CaNa30),Na glass (=CaNa30)
Na+,6,2.38,0.21,2.46,0.40,2 Na+,1.92,7.5
Ca2+,6,2.36,0.35,,,1 Na+ and 1 Ca2+,2.06,
,,,,,,,,
Cs glass,Cs glass,Cs glass,Cs glass,Cs glass,Cs glass,Cs glass,Cs glass,Cs glass
Cs+,8,3.10,0.16,2.45,0.41,3 Cs+,1.99,7.5
Ca2+,6,2.36,0.35,,,1 Cs+ and 1 Ca2+,2.02,
,,,,,,,,
Mg glass,Mg glass,Mg glass,Mg glass,Mg glass,Mg glass,Mg glass,Mg glass,Mg glass
Na+,6,2.38,0.21,2.50,0.355,1 Na+ and 1 [6]Mg2+,2.01,8.4
Mg2+,4-6,1.93 to 2.08,0.53 to 0.35,,,1 [4]Mg2+,1.98,
