N,CsGaS3/2Cl glass (this work),Ga2Cl6 melt [9],Ga2Cl6 melt [8],CsGaSe3/2Cl glass (this work),Ga2Br6 melt [8]
1,86mw,100s (n 4 deformation),96vs (n 12 rocking),-,68vs (n 12)
2,107vs,113sh (n 12 rocking),107sh (n 7 wagging),88s,83s (n 7)
3,132vs,128sh (n 7 wagging),-,109s,-
4,167m,167m (n 3 ring in-plane bend),167s (n 4 deformation),132s,118s (n 4)
5,182w,215sh (n 15 symmetric twisting),228w (n 15 symmetric twisting),158w,142sh (n 15)
6,-,231w (n 6 ring in-plane stretching),-,,
7,254w,268w (n 3+n 4),268w (n 9x2=246 rocking),178m,176sh (n 9x2)
8,317vs,318mw (n 2 ring breathing),321m (n 3 ring in-plane bend),201vs,201vs (n 2)
9,344s,344m (n 3+n 4)x2,342ms (n 2 ring breathing),233w,221sh (n 3)
10,400s,413s (n 1 symmetric stretching),412vs (n 1 symmetric stretching),278s,287m (n 1)
11,-,462m (n 11 antisymmetric stretching),464m (n 11 antisymmetric stretching),-,341m (n 11)
