Sample,[B2O3],[Na2O],[Al2O3],[SnO2],[Na2O]/[B2O3],Sn-containing crystalline phase formed
A,31.4,54.1,9.5,5,1.723,Na2SnO3
B,40.2,55.3,-,4.5,1.376,Na2SnO3
C,39.1,44,9.8,7.1,1.125,Na2Sn2O5
D,40,45,10,5,1.125,Na2Sn2O5
E,40.2,45.2,10.1,4.5,1.125,Na2Sn2O5
F,37.9,42.6,9.5,10,1.125,Na2Sn2O5
G,42.2,47.5,5,5.3,1.125,SnO2
H,40.2,40.2,9.5,10.1,1,SnO2
I,42,38.4,9.5,10.1,0.914,SnO2
K,50.6,44.9,-,4.5,0.887,SnO2
L,53,31,9,7,0.585,SnO2
M,54.1,31.4,9.5,5,0.580,SnO2
N,66,24,5,5,0.364,SnO2
O,66.5,19,9.5,5,0.286,SnO2
