,SiO2,CaO,Al2O3,MgO,t nose (min),T nose (degC),T liquidus (degC),T nose/T liquidus
,,,,,,+-25degC,+-50degC,+-0.05
A,41.3,33.7,24.5,0.25,1.5,1150,1360,0.871
B,41.3,38.2,20.0,0,27,1150,1347,0.913
D,42.5,35.7,21.2,0.4,15,1200,1305,0.934
,,,,,15,1025,,0.823
E,40.6,34.0,20.3,5.1,15,1050,1387,0.797
F,39.9,33.5,20.0,6.1,10,1025,1396,0.763
,,,,,,1000,,0.778
G,39.5,33.4,19.5,7.3,5,1025,1408,0.772
H,42.2,34.4,20.6,2.8,5,1100,1343,0.910
I,60.9,21.7,17.0,0,120,1200,1219,0.931
,,,,,,1000,,0.804
J,39.0,31.9,24.2,4.95,15,1200,1380,0.891
,,,,,21,1000,,0.770
K,56.7,21.1,17.2,5.1,85,1100,1196,0.935
,,,,,80,950,,0.833
L,50.5,35.5,13.7,0,6.5,1300,1376,0.963
M,61.6,27.8,10.3,0,14,1100,1323,0.878
N,37.4,30.6,22.9,9.0,5.5,1175,1403,0.864
O,54.0,19.9,16.2,9.9,35,1050,1244,0.832
