Sample,Fit range(K),r(0),a(10-4 K-1/2),"a '', a ''' (10-5 K-1)","b, b ', b '' (10-6 K-3/2)",a '(10-7 K-2),b '''(10-7 K-2),kh r 2
A1,10-55,0.9726(1),5.23(7),-,8.90(10),1.24(10),-,1.40x10-10
,70-300,0.9688(1),-,-,8.91(16),-,-,1.83x10-9
A2,10-55,0.9708(1),4.95(20),-,9.20(20),1.18(10),-,1.28x10-10
,70-300,0.9672(1),-,-,9.25(21),-,-,1.68x10-9
A3,10-55,0.9725(1),4.90(10),-,9.02(12),1.15(5),-,1.03x10-10
,70-300,0.9692(1),-,-,8.66(16),-,-,6.50x10-10
B1,10-45,0.9903(1),7.77(19),6.52(8),6.47(3),-,-,4.50x10-11
,50-300,0.9880(1),-,-,6.52(6),-,-,2.61x10-10
B2,10-45,0.9909(1),7.41(27),6.27(20),6.25(9),-,-,7.01x10-11
,50-300,0.9886(1),-,-,6.33(12),-,-,5.07x10-10
C1,10-35,0.9985(1),7.62(38),3.21(9),5.10(80),-,-,2.04x10-11
,40-290,0.9959(1),-,-,-,-,1.75(5),1.52x10-10
