Sample,r-factor,r(A),n (atoms),s2(  A    2 )
AZR2.12,0.032,2.089 (0.004),6.6 (0.4),0.0050
,0.027,2.085 (0.005),7.5 (1.0),0.0062 (0.0011)
AZR2.58,0.048,2.081 (0.005),6.9 (0.9),0.0053 (0.0009)
,,,,
BZR5.03,0.027,2.074 (0.003),6.4 (0.6),0.0052 (0.0007)
BZR9.06,0.025,2.081 (0.004),6.5 (0.4),0.0050
,0.023,2.087 (0.004),7.0 (0.9),0.0057 (0.0010)
BZR12.10,0.025,2.087 (0.004),6.5 (0.6),0.0059 (0.0007)
BZR15.75,0.033,2.089 (0.004),6.1 (0.7),0.0065 (0.0009)
BZR15.91,0.037,2.092 (0.004),6.4 (0.7),0.0058 (0.0009)
BZR16.33,0.030,2.082 (0.004),6.4 (0.7),0.0064 (0.0008)
BZR21.06,0.042,2.077 (0.005),6.1 (0.8),0.0067 (0.0010)
,,,,
MZR16.09,0.023,2.086 (0.003),6.5 (0.6),0.0057 (0.0006)
,,,,
CZR17.84,0.022,2.095 (0.004),6.4 (0.8),0.0067 (0.0011)
CZR17.85,0.033,2.079 (0.004),6.3 (0.7),0.0059 (0.0008)
CZR19.21,0.055,2.090 (0.006),6.2 (1.1),0.0079 (0.0015)
