Sample name,Si/O,(Fe+Si)/O,T cast (degC),Pre-peak (eV) (+-0.2),Area (a.u.) (+-0.01),N(O),R Fe-O (A) (+-0.01)
(50-50) 40-42-18,0.324,0.441,1400,7111.1,0.45,4.0+-0.2,1.91
(50-50) 40-42-18,0.324,0.441,1400,7113.1,0.45,4.0+-0.2,1.91
(50-50) 40-42-18,0.324,0.441,1400,7114.4,0.45,4.0+-0.2,1.91
(60-40) 40-42-18,0.316,0.451,1400,7113.1,0.56,3.9+-0.1,1.88
(70-30) 40-42-18,0.308,0.462,1400,7113.1,0.59,3.9+-0.1,1.88
(80-20) 40-42-18,0.300,0.472,1400,7113.1,0.65,3.5+-0.1,1.87
(90-10) 40-42-18,0.293,0.482,1400,7113.0,0.75,3.3+-0.1,1.87
(90-10) 40-40-20,0.198,0.475,1100,7113.1,0.73,3.5+-0.2,1.87
(90-10) 40-40-20,0.198,0.475,1200,7113.1,0.70,3.4+-0.1,1.87
(90-10) 40-40-20,0.198,0.475,1400,7113.1,0.69,3.6+-0.1,1.87
(70-30) 50-30-20,0.244,0.458,1100,7113.0,0.78,3.3+-0.1,1.87
(70-30) 50-30-20,0.244,0.458,1200,7113.0,0.76,3.3+-0.1,1.87
(80-20) 50-30-20,0.236,0.472,1100,7113.0,0.82,3.2+-0.1,1.86
(80-20) 50-30-20,0.236,0.472,1200,7112.9,0.83,3.3+-0.1,1.87
(80-20) 50-30-20,0.236,0.472,1400,7112.9,0.79,3.0+-0.2,1.87
(90-10) 50-30-20,0.228,0.485,1200+1100,7113.0,0.85,2.8+-0.1,1.87
(90-10) 50-30-20,0.228,0.485,1400,7113.1,0.65,3.7+-0.2,1.87
(60-40) 50-35-15,0.283,0.464,1400,7113.1,0.41,4.2+-0.1,1.87
(70-30) 50-35-15,0.273,0.478,1200,7113.0,0.68,3.3+-0.1,1.87
(70-30) 50-35-15,0.273,0.478,1200+1180,7113.1,0.59,3.9+-0.2,1.87
(70-30) 50-35-15,0.273,0.478,1400,7113.0,0.57,3.7+-0.2,1.87
(80-20) 50-35-15,0.264,0.491,1200,7113.0,0.76,3.2+-0.1,1.87
(80-20) 50-35-15,0.264,0.491,1400,7113.0,0.73,2.8+-0.1,1.88
(60-40) 50-40-10,0.310,0.485,1200,7113.0,0.65,2.7+-0.1,1.87
(60-40) 50-40-10,0.310,0.485,1400,7113.0,0.52,3.3+-0.1,1.86
(60-40) 60-25-15,0.224,0.466,1250+1200,7113.0,0.60,4.1+-0.1,1.88
(60-40) 60-25-15,0.224,0.466,1400,7112.9,0.58,4.1+-0.2,1.87
(70-30) 60-25-15,0.214,0.484,1200,7113.1,0.61,4.0+-0.3,1.87
