Group,Glass No.,Optical microscopy,Optical microscopy,Optical microscopy,Optical microscopy,Optical microscopy,Optical microscopy,Optical microscopy,XRD a (%),Density a (%)
,,a ||[100] (mm),b ||[010] (mm),c ||[001] (mm),V  c  x107 (mm3),N  v  x10-5 (mm-3),q,a (%),XRD a (%),Density a (%)
I,1,,,,,0.076,,,,
,,,,,,,,,,
II,2,,,,,7.0,,,,
,3,,,,,12,,,,
,4,,,,,20,,,,
,,,,,,,,,,
III,5,7,3.1,11.8,1.3,13,0.39,17.6,15,24
,6,8.7,3.7,14.5,2.4,12,0.39,30.2,27,41
,7,8.7,3.7,14.5,2.4,6.2,0.39,15.1,13,16
,8,6.2,6.2,11,2.2,13,0.56,29.9,24,35
,9,7.2,7.2,12.7,3.4,11,0.57,37.6,27,41
,10,7.2,7.2,12.7,3.4,5.5,0.57,18.8,17,21
,11,6.4,6.4,9.7,2.1,6.6,0.66,13.8,15,18
,12,1.8,1.8,2.9,0.049,13,0.62,0.7,0,2
