Size,1AL5ER,5AL5ER,10AL5ER,15AL5ER,20AL5ER,1AL10ER,5AL10ER,10AL10ER,15AL10ER,20AL10ER
2,0.03,0.10,0.17,0.25,0.23,0.50,0.12,0.20,0.10,0.10
3,0.51,0.55,0.78,1.38,1.30,1.32,0.81,0.60,0.89,0.74
4,5.31,6.03,5.91,6.19,7.68,9.00,6.56,5.57,5.57,6.10
5,16.32,10.81,13.3,11.91,14.98,15.02,11.51,11.80,12.33,11.27
6,12.71,14.20,13.58,12.85,14.67,12.46,9.75,9.56,15.83,11.80
7,10.48,14.35,11.81,12.89,16.23,7.60,12.32,10.54,13.12,13.34
8,7.23,9.84,13.50,13.09,10.52,7.17,7.58,10.14,10.55,11.23
9,7.12,8.39,10.10,10.53,12.02,5.24,7.85,9.37,7.77,7.93
10,5.51,4.92,8.15,8.83,6.11,3.77,5.72,5.40,5.67,6.76
11,5.75,6.43,8.33,7.60,4.24,8.82,13.57,5.94,4.88,6.76
12,7.12,4.92,3.45,3.53,2.31,4.34,7.04,10.09,6.80,6.02
13,6.61,6.53,5.98,3.29,3.54,7.36,8.41,7.50,7.21,5.46
14,5.34,6.17,3.62,3.26,2.51,4.18,3.58,6.32,4.66,5.74
15,9.96,6.76,1.29,4.41,3.69,13.21,5.19,6.96,4.62,6.76
