Compound,Q(Mg),Q(P),Q(O),Q(Ca),Calculation type
Mg3(PO4)2 [25],1.0,1.49,-0.75,-,LCAO-HF
Mg3(PO4)2 [26],1.0,1.43,-0.74,-,LCAO-HF
Mg3(PO4)2 [27]*,1.0,1.47,-0.74,-,LCAO-HF
Mg3(PO4)2 [27]*,1.51,2.19,-1.11,-,DFT-PW91
Mg3(PO4)2 [27]*,1.42,2.14,-1.06,-,DFT-LDA
Mg2P2O7 [28]*,1.0,1.41,-0.69,-,LCAO-HF
Mg2P2O7 [29],1.01,1.49,-0.72,-,LCAO-HF
Mg2P4O12 [30]*,1.16,1.64,-0.74,-,LCAO-HF
Ca3(PO4)2 [31]*,-,1.41,-0.63,0.74,LCAO-HF
Ca3(PO4)2 [31]*,-,2.21,-1.24,1.83,DFT-LDA
Ca3(PO4)2 [31]*,-,2.25,-1.26,1.85,DFT-PW91
Ca2P2O7 [32]*,-,(1.49),(-0.64),(0.75),Not performed
Ca(PO3)2 [33]*,-,1.59,-0.66,0.77,LCAO-HF
Ca(PO3)2 [34],-,1.59,-0.66,0.77,LCAO-HF
Mg3Ca3 (PO4)4 [37]*,1.01,1.4,-0.67,0.67,LCAO-HF
