#,Metal,T (degC),Q (A-1),r (A),N,E
1,Ti,1700,2.45,3.17,10.9,1.236
2,Ti,1850,2.45,3.15,10.7,1.228
3,V,1900,2.71,2.82,11,1.216
4,Cr,1900,3.01,2.58,11.2,1.236
5,Mn,1260,2.83,2.67,10.9,1.203
6,Fe,1550,2.98,2.58,10.6,1.224
7,Co,1550,3.02,2.56,11.4,1.23
8,Ni,1550,3.1,2.53,11.6,1.248
9,Cu,1150,3.0,2.57,11.3,1.227
10,Sc,1560,2.48,2.98,10.3,1.176
11,Sc,970,2.1,3.65,11.1,1.22
12,La,1070,2.1,3.62,10.4,1.21
13,La,870,2.14,3.4,10.8,1.158
14,Ce,1058,2.14,3.4,10.6,1.158
15,Ce,950,2.1,3.45,10.7,1.153
16,Pr,1100,2.1,3.43,10.3,1.146
17,Pr,830,1.87,3.8,10.7,1.131
18,Eu,1000,1.87,3.78,10.5,1.125
19,Gd,1330,2.07,3.53,11.1,1.163
20,Tb,1380,2.08,3.5,10.7,1.159
21,Tb,850,2.01,3.65,10.4,1.168
22,Yt,1000,2.01,3.63,10.2,1.161
23,La,975,2.0,3.75,11.7,1.194
24,Ce,1100,2.11,3.57,12.3,1.199
25,Pr,1100,2.11,3.55,11.9,1.192
26,La,970,2.08,3.85,,1.275
27,Sn,,9.7,5.16,,4.87
28,Sn,,7.5,3.29,8.5,3.93
29,Ga,,2.46,2.79,,1.1
30,S,,1.615,2.32,,0.61
31,S,,1.9,2.36,,0.71
32,Se,20,1.46,2.28,2.1,0.54
33,Se,40-50,1.7,3.7; 4.1,3.8,1; 1.11
34,Se,60-70,1.86,3.85,10,1.14
