,Calcine,gc17,gc16,g17,g9
Al2O3,9.60,6.72,6.72,23.20,7.07
B2O3,2.90,2.03,2.03,2.25,13.32
CaO,12.20,8.54,8.54,0.69,5.14
Ce2O3,1.20,0.84,0.84,0.39,0.51
CdO,5.70,3.99,3.99,0.01,2.40
Cr2O3,1.20,0.84,0.84,1.81,0.51
Cs2O,0.50,0.35,0.35,0.19,0.21
K2O,1.10,0.77,0.77,0.24,0.46
MgO,0.50,0.35,0.35,0.10,2.03
Na2O,5.10,3.57,3.57,0.69,16.67
P2O5,0.50,7.40,7.40,0.18,0.21
SiO2,0.00,19.46,13.46,66.11,27.23
SrO,0.60,0.42,0.42,0.27,0.25
ZrO2,17.50,12.25,12.25,1.34,7.38
CaF2,39.40,27.58,27.58,1.03,16.61
Cl-,0.10,0.07,0.07,0.27,0.04
SO4 2-,2.60,1.82,1.82,0.01,1.09
Al metal,0,1,3,0,0
Si metal,0,2,6,0,0
Loading wt%,100,70,70,-,42
