,Glass,SiO2,P2O5,Al2O3,Nb2O5,TiO2,BaO,Na2O,Li2O,K2O,CdO,La2O3,B2O3,Bx1016 (m/V2)
S-series,S35,61,,,5,,,19,,11,2,,2,<0.5
S-series,S34,56,,,10,,,19,,11,2,,2,1.5
S-series,S33,51,,,15,,,19,,11,2,,2,9
S-series,S32,46,,,20,,,19,,11,2,,2,26
S-series,S31,41,,,25,,,19,,11,2,,2,71
S-series,S1,37,,,29,,,19,,11,2,,2,105
S-series,S2,35,,,31,,,19,,11,2,,2,117
S-series,S3,33,,,33,,,19,,11,2,,2,149
S-series,S4,31,,,35,,,19,,11,2,,2,169
S-series,S5,29,,,37,,,19,,11,2,,2,198
,,,,,,,,,,,,,,
LiS-series,LiS35,61,,,5,,,,19,11,2,,2,<0.5
LiS-series,LiS34,56,,,10,,,,19,11,2,,2,4
LiS-series,LiS33,51,,,15,,,,19,11,2,,2,39
LiS-series,LiS32,46,,,20,,,,19,11,2,,2,61
LiS-series,LiS31,41,,,25,,,,19,11,2,,2,110
LiS-series,LiS1,37,,,29,,,,19,11,2,,2,156
LiS-series,LiS2,35,,,31,,,,19,11,2,,2,195
LiS-series,LiS3,33,,,33,,,,19,11,2,,2,215
LiS-series,LiS4,31,,,35,,,,19,11,2,,2,266
,,,,,,,,,,,,,,
BT-series,BT7,30.2,,15.6,,19.3,35.0,,,,,,,<0.5
BT-series,BT9,25.2,,12.6,,24.8,37.4,,,,,,,<0.5
BT-series,BT11,20.1,,10.0,,30.0,40.0,,,,,,,<0.5
BT-series,BT13,14.7,,7.3,,35.4,42.7,,,,,,,<0.5
,,,,,,,,,,,,,,
P-series,P1,,66.7,,5.6,,,,5.6,,,22.2,,<0.5
P-series,P2,,56.3,,12.5,,,,12.5,,,18.7,,<0.5
P-series,P3,,50,,16.7,,,,16.7,,,16.7,,1
P-series,P4,,42.9,,21.4,,,,21.4,,,14.3,,1.5
