Glasses,Fe2+/Fetot by titration,Fe2+(oct),Fe2+(oct),Fe2+(oct),Fe3+(oct),Fe3+(oct),Fe3+(oct),Fe3+(tet),Fe3+(tet),Fe3+(tet),Fraction of sites (%),Fraction of sites (%),Fraction of sites (%),CNFe,kh 2
Glasses,Fe2+/Fetot by titration,IS,QS,w,IS,QS,w,IS,QS,w,Fe2+(oct),Fe3+(oct),Fe3+(tet),CNFe,
A-0.33,0.24,1.11 (1),2.46 (1),0.52 (2),0.58 (2),0.64 (1),0.44 (2),0.37 (1),0.63 (1),0.36 (2),29.6 (9),40.8 (58),29.6 (56),5.4 (4),1.26
A-0.23,0.31,1.31 (1),2.11 (2),0.56 (2),0.49 (1),0.61 (1),0.40 (2),0.31 (1),0.66 (1),0.32 (2),34.1 (9),44.1 (39),21.8 (37),5.6 (3),1.50
A-0.13,0.13,1.30 (5),2.11 (10),0.61 (7),0.45 (2),0.57 (2),0.56 (2),0.27 (3),0.68 (4),0.26 (14),16.0 (14),79.5 (58),4.6 (5),5.9 (4),0.66
B-0.40,0.14,1.05 (1),2.54 (3),0.48 (4),0.55 (2),0.73 (1),0.46 (2),0.32 (2),0.71 (1),0.38 (4),19.1 (13),51.0 (78),29.9 (75),5.4 (6),0.77
B-0.33,0.26,1.13 (1),2.43 (2),0.52 (2),0.57 (2),0.57 (1),0.42 (2),0.38 (1),0.56 (1),0.36 (2),27.1 (10),38.4 (69),34.6 (67),5.3 (5),1.23
B-0.23,0.26,1.16 (1),2.40 (1),0.52 (2),0.54 (1),0.55 (0),0.40 (2),0.37 (1),0.56 (1),0.32 (2),30.1 (9),44.7 (54),25.2 (52),5.5 (4),1.60
B-0.13,0.24,1.15 (1),2.38 (3),0.56 (3),0.54 (2),0.55 (1),0.41 (2),0.37 (2),0.55 (1),0.36 (3),24.4 (12),41.3 (93),34.2 (92),5.3 (7),0.85
C-0.50,0.15,1.02 (2),2.54 (3),0.51 (5),0.53 (2),0.78 (1),0.50 (3),0.28 (1),0.80 (1),0.34 (5),20.1 (14),56.6 (70),23.3 (64),5.5 (5),0.82
C-0.23,0.27,1.29 (1),2.08 (2),0.56 (2),0.49 (1),0.63 (1),0.38 (2),0.30 (1),0.67 (1),0.32 (2),32.4 (8),42.1 (36),25.6 (34),5.5 (3),1.54
D-0.60,0.11,1.01 (4),2.61 (9),0.51 (13),0.55 (3),0.85 (2),0.49 (5),0.28 (2),0.86 (2),0.39 (6),13.4 (26),49.0 (12),37.0 (11),5.2 (2),0.63
D-0.23,0.19,1.27 (3),2.11 (6),0.50 (4),0.47 (1),0.58 (2),0.42 (2),0.27 (1),0.65 (1),0.28 (2),18.7 (11),64.7 (35),16.6 (32),5.7 (3),1.01
E-0.67,0.17,1.25 (2),2.09 (4),0.62 (6),0.49 (2),0.91 (1),0.44 (4),0.24 (2),0.93 (1),0.38 (4),22.3 (17),44.1 (75),33.6 (70),5.3 (5),0.85
E-0.50,0.18,1.29 (1),2.04 (3),0.58 (4),0.52 (1),0.77 (1),0.44 (2),0.28 (1),0.81 (1),0.40 (2),22.2 (11),42.3 (47),35.5 (44),5.3 (3),1.05
E-0.40,0.20,1.29 (2),2.08 (4),0.52 (4),0.49 (2),0.68 (2),0.44 (2),0.28 (2),0.75 (1),0.34 (4),22.6 (17),51.4 (68),26.0 (63),5.5 (5),0.79
E-0.33,0.19,1.29 (2),2.06 (3),0.54 (4),0.48 (1),0.65 (1),0.44 (2),0.27 (1),0.72 (1),0.32 (4),22.7 (12),57.1 (44),20.2 (40),5.6 (3),0.94
E-0.23,0.14,1.23 (19),2.09 (37),0.48 (8),0.48 (3),0.59 (6),0.42 (2),0.28 (2),0.65 (1),0.32 (4),13.1 (16),64.0 (77),22.9 (72),5.5 (6),0.63
