Sample code,s ac(o) (Om)-1 at 1 kHz and 333 K (+-0.5%),E ac (kJmol-1) at 1 kHz (+-0.5%),E ac (kJmol-1) at 10 kHz (+-0.5%),E ac (kJmol-1) at 100 kHz (+-0.5%),E ac (kJmol-1) at 1 MHz (+-0.5%),e '(o) at 1 kHz and 333 K (+-0.5%)
Series A,Series A,Series A,Series A,Series A,Series A,Series A
A1,7.99x10-8,19.1,18.6,13.8,3.4,11.9
A2,9.99x10-8,18.0,17.3,12.7,2.4,12.3
A3,1.51x10-7,17.3,17.1,12.4,1.6,14.7
A4,1.07x10-7,17.6,17.4,12.5,1.7,12.2
,,,,,,
Series B,Series B,Series B,Series B,Series B,Series B,Series B
B1,7.11x10-8,17.2,16.9,10.6,3.7,11.2
B2,4.81x10-8,18.8,18.6,10.7,5.1,10.1
B3,2.47x10-8,21.4,20.7,11.5,5.6,9.7
B4,6.07x10-9,24.3,23.8,12.9,5.9,8.4
,,,,,,
Series C,Series C,Series C,Series C,Series C,Series C,Series C
C1,1.19x10-7,19.5,19.3,16.6,3.5,13.3
C2,2.71x10-7,19.2,18.8,15.3,2.8,18.6
C3,5.65x10-7,18.2,17.7,14.9,2.5,27.4
,,,,,,
Series M,Series M,Series M,Series M,Series M,Series M,Series M
M1,2.09x10-7,17.6,17.1,15.5,4.7,16.9
M2,2.79x10-7,17.2,16.9,15.1,3.9,19.1
M3,2.72x10-7,17.1,17.0,15.6,4.1,18.4
