Sample,Na2O,MgO,Al2O3,SiO2,SO3,Cl,P2O5,K2O,CaO,TiO2,Sb2O3,MnO,Fe2O3,Total
IF 4,20.24,0.53,1.92,69.48,0.15,1.36,0.12,0.51,4.99,0.10,0.72,0.01,0.32,100.51
IF 4,0.19,0.02,0.07,0.30,0.01,0.02,0.02,0.02,0.05,0.04,0.02,0.02,0.02,0.32
,,,,,,,,,,,,,,
IF 5/1,19.59,0.58,2.15,70.14,0.16,1.25,0.09,0.28,4.62,0.12,0.63,0.03,0.37,100.16
IF 5/1,0.13,0.02,0.06,0.35,0.02,0.04,0.03,0.02,0.08,0.02,0.04,0.02,0.06,0.20
,,,,,,,,,,,,,,
IF 1/2,19.60,0.60,2.07,68.90,0.14,1.28,0.11,0.46,5.67,0.08,0.63,0.07,0.42,100.02
IF 1/2,0.15,0.01,0.02,0.27,0.01,0.01,0.08,0.06,0.08,0.08,0.04,0.01,0.07,0.22
,,,,,,,,,,,,,,
IF 11/2,18.73,0.57,2.07,69.52,0.15,1.25,0.14,0.40,5.74,0.09,0.80,0.07,0.53,100.11
IF 11/2,0.21,0.02,0.02,0.15,0.01,0.03,0.05,0.05,0.19,0.03,0.02,0.04,0.42,0.36
,,,,,,,,,,,,,,
IF 1/1,15.66,0.52,2.56,71.07,0.07,1.16,0.12,0.42,7.56,0.08,0.02,0.70,0.37,100.18
IF 1/1,0.17,0.03,0.07,0.25,0.01,0.05,0.08,0.03,0.09,0.06,0.03,0.08,0.04,0.38
,,,,,,,,,,,,,,
IF 2/1,20.86,1.20,2.81,64.86,0.16,1.25,0.11,0.42,6.43,0.31,0.04,0.03,0.96,99.57
IF 2/1,0.15,0.02,0.03,0.46,0.01,0.03,0.06,0.05,0.10,0.10,0.02,0.03,0.11,0.36
,,,,,,,,,,,,,,
IF 2/2,18.27,0.60,2.26,69.01,0.12,1.25,0.10,0.48,6.34,0.06,0.03,0.41,0.49,99.32
IF 2/2,0.12,0.02,0.04,0.12,0.01,0.03,0.02,0.03,0.03,0.02,0.01,0.04,0.01,0.11
,,,,,,,,,,,,,,
IF 3,17.26,0.71,2.45,69.05,0.15,1.08,0.08,0.73,7.44,0.09,0.03,0.64,0.48,100.10
IF 3,0.19,0.04,0.03,0.41,0.17,0.07,0.01,0.03,0.04,0.02,0.02,0.07,0.02,0.27
,,,,,,,,,,,,,,
IF 6,17.51,0.63,2.48,69.52,0.18,1.27,0.07,0.58,6.81,0.09,0.02,0.52,0.37,99.99
IF 6,0.43,0.02,0.05,0.15,0.01,0.03,0.03,0.05,0.04,0.03,0.02,0.03,0.06,0.55
,,,,,,,,,,,,,,
PGS 1,15.98,0.60,2.73,70.02,0.23,1.25,0.13,0.60,8.19,0.45,0.00,1.25,0.08,99.91
PGS 1,0.16,0.03,0.05,0.55,0.05,0.03,0.02,0.02,0.13,0.31,0.00,0.08,0.03,0.73
,,,,,,,,,,,,,,
PGS 2,15.22,0.78,2.76,68.21,0.39,1.28,0.07,0.62,9.22,0.39,0.00,1.10,0.07,100.01
PGS 2,0.23,0.03,0.04,0.63,0.04,0.02,0.02,0.05,0.14,0.07,0.00,0.07,0.01,0.44
,,,,,,,,,,,,,,
GRA 185/2A,14.30,0.79,3.19,69.43,0.05,0.82,0.06,0.40,10.31,0.11,0.00,0.05,0.50,100.01
GRA 185/2A,0.08,0.05,0.04,0.11,0.03,0.03,0.02,0.04,0.15,0.01,0.00,0.04,0.02,0.28
,,,,,,,,,,,,,,
GRA 185/1A,16.85,1.40,2.78,67.15,0.26,0.79,0.07,0.79,8.58,0.13,0.00,0.41,0.75,99.97
GRA 185/1A,0.12,0.09,0.07,0.06,0.09,0.03,0.05,0.20,0.20,0.03,0.00,0.05,0.10,0.18
,,,,,,,,,,,,,,
GRA 86/1,18.31,1.49,2.53,64.45,0.17,0.98,0.13,0.62,8.31,0.19,0.03,1.84,1.13,100.15
GRA 86/1,0.16,0.04,0.17,0.28,0.03,0.03,0.05,0.05,0.11,0.06,0.01,0.02,0.07,0.38
,,,,,,,,,,,,,,
GRA 29/1,17.46,1.01,2.64,67.37,0.12,1.32,0.12,0.67,6.84,0.19,0.01,0.97,0.98,99.69
GRA 29/1,0.32,0.04,0.15,0.41,0.02,0.05,0.10,0.03,0.03,0.04,0.01,0.03,0.04,0.38
,,,,,,,,,,,,,,
VI 195,18.25,0.81,2.03,68.30,0.02,0.36,1.03,0.49,6.73,0.12,0.00,0.85,0.66,99.65
VI 195,0.06,0.05,0.05,0.17,0.03,0.03,0.04,0.03,0.13,0.02,0.00,0.07,0.10,0.24
,,,,,,,,,,,,,,
VI 350,7.44,4.36,1.83,61.34,0.13,0.51,2.11,9.20,10.57,0.29,0.00,0.81,1.43,99.38
VI 350,0.19,0.08,0.03,0.08,0.01,0.02,0.03,0.09,0.26,0.04,0.00,0.05,0.06,0.13
