Run #,D9,D7,D6,D11,D10,D8,D16
T (degC),1000,1075,1075,1130,1137,1200,1000
Conditions,Red.,Red.,Red.,Red.,Red.,Red.,Oxid.
t dwell (s),3600,1800,3600,233,660,1200,3600
t effective Rb (s),3716,1932,3732,508,838,1356,3812
teffective Nd (s),3678,1989,3689,443,798,1304,3742
"C     H   2   O,min     (wt%)",0.100+-0.021,0.119+-0.005,0.139+-0.018,0.129+-0.082,0.167+-0.002,0.108+-0.015,0.174+-0.027
"C     H   2   O,max     (wt%)",0.150+-0.021,0.132+-0.005,0.185+-0.018,0.319+-0.082,0.176+-0.002,0.148+-0.015,0.239+-0.027
X     Eu   2 +,0.016+-0.017,0.011+-0.017,0.001+-0.016,0.023+-0.078,0.034+-0.027,0.032+-0.022,0.012+-0.018
,,,,,,,
D in 10-12 m2/s,D in 10-12 m2/s,D in 10-12 m2/s,D in 10-12 m2/s,D in 10-12 m2/s,D in 10-12 m2/s,D in 10-12 m2/s,D in 10-12 m2/s
Rb,-10.82+-0.04,-10.51+-0.04,-10.52+-0.04,-10.33+-0.20,-10.30+-0.06,-10.08+-0.04,-10.82+-0.05
Cs,-11.61+-0.06,-11.30+-0.05,-11.23+-0.05,-10.96+-0.18,-10.95+-0.07,-10.65+-0.05,-11.57+-0.06
Sr,-11.48+-0.05,-11.14+-0.05,-11.11+-0.05,-10.89+-0.19,-10.86+-0.07,-10.60+-0.05,-11.45+-0.05
Fe,-11.85+-0.06,-11.63+-0.06,-11.49+-0.05,-11.31+-0.19,-11.25+-0.07,-11.02+-0.05,-11.82+-0.06
Zn,-12.08+-0.06,-11.89+-0.06,-11.68+-0.05,-11.43+-0.19,-11.53+-0.12,-11.22+-0.06,-12.10+-0.06
Cd,-11.59+-0.05,-11.19+-0.05,-11.22+-0.04,n.d.,n.d.,-10.85+-0.05,-11.69+-0.06
Nd,-12.89+-0.10,-12.48+-0.09,-12.36+-0.07,-11.95+-0.18,-12.08+-0.09,-11.74+-0.06,-12.79+-0.09
Eu,-12.75+-0.09,-12.39+-0.09,-12.35+-0.07,-11.85+-0.18,-11.89+-0.09,-11.59+-0.06,-12.70+-0.09
In,-12.07+-0.06,-11.62+-0.06,-11.74+-0.05,-11.57+-0.19,-11.35+-0.08,-11.22+-0.07,-12.20+-0.06
Sn,-11.99+-0.06,n.d.,-11.56+-0.05,-11.53+-0.20,-11.46+-0.09,-11.10+-0.05,-11.95+-0.06
Ge,-12.32+-0.07,-11.83+-0.07,-11.95+-0.06,-11.79+-0.19,-11.69+-0.11,-11.34+-0.05,-12.34+-0.07
,,,,,,,
DEyring,-12.92,-12.40,-12.38,-12.02,-12.01,-11.72,-12.85
