Glass code,JO parameters,JO parameters,JO parameters,Trends of Ol,O4 /O6,References
Glass code,O2,O4,O6,Trends of Ol,O4 /O6,References
0.05YbErBT,3.786,0.762,0.926,O2 >O6 >O4,0.823,Present
0.1YbErBT,3.709,0.659,1.002,O2 >O6 >O4,0.657,Present
0.5YbErBT,3.427,0.702,0.877,O2 >O6 >O4,0.800,Present
1YbErBT,3.168,0.834,0.906,O2 >O6 >O4,0.921,Present
3YbErBT,2.683,0.826,0.990,O2 >O6 >O4,0.834,Present
5YbErBT,2.835,0.512,0.917,O2 >O6 >O4,0.558,Present
2Er,3.13,1.45,1.79,O2 >O6 >O4,0.810,[10]
NKZLSEr10,5.82,2.35,2.37,O2 >O6 >O4,0.992,[34]
TZNP4,4.54,1.12,1.34,O2 >O6 >O4,0.836,[36]
1.0mol%Er3+,4.85,0.77,1.25,O2 >O6 >O4,0.616,[40]
CBE1,3.05,2.14,2.87,O2 >O6 >O4,0.746,[43]
YBPF:1Er-0Yb,4.65,1.56,1.78,O2 >O6 >O4,0.876,[44]
LBTAFEr10,5.89,1.10,1.47,O2 >O6 >O4,0.748,[45]
T0B8,4.91,1.77,1.98,O2 >O6 >O4,0.894,[46]
PTE,1.96,0.97,1.20,O2 >O6 >O4,0.808,[47]
0.6mol%Er2S3,1.29,0.42,1.02,O2 >O6 >O4,0.412,[48]
0.45Bi2O3,3.56,1.11,1.05,O2 >O6 >O4,1.057,[49]
BB45,3.49,1.11,1.44,O2 >O6 >O4,0.771,[50]
Er:TeO2-ZnO-Na2O,5.98,1.32,1.47,O2 >O6 >O4,0.898,[51]
SB1,2.63,1.04,1.09,O2 >O6 >O4,0.954,[52]
