,La2O3,SiO2,Na2O or K2O,Nominal NBO/T
Na3S,0,75.0,25.0,0.67
Na3S+2,2.0,73.5,24.5,0.83
Na3S+4,4.0,72.0,24.0,1.00
Na3S+6,6.0,70.5,23.5,1.18
Na3S+8,8.0,69.0,23.0,1.36
Na3S+10,10.0,67.5,22.5,1.56
,,,,
NaLa4,1.37,77.05,21.58,0.67
NaLa8,2.82,79.22,17.96,0.67
NaLa12,4.35,81.52,14.13,0.67
NaLa12-2 (1000 wt ppm Gd2O3),4.35,81.52,14.13,0.67
,,,,
K3S,0,75.0,25.0,0.67
K3S+2,2.0,73.5,24.5,0.83
K3S+4,4.0,72.0,24.0,1.00
K3S+6,6.0,70.5,23.5,1.18
K3S+8,8.0,69.0,23.0,1.36
,,,,
KLa4,1.37,77.05,21.58,0.67
KLa8,2.82,79.22,17.96,0.67
