d (A)exp,I/I 0,th (deg),d (A)cal,(hkl),Calculated intensity
7.356,6,12.08,7.326,020,32
,,15.04,5.888,100,4515
5.431,11,16.22,5.463,110,4398
,,18.54,4.784,001,1063
,,19.34,4.589,120,4269
,,19.51,4.548,011,574
4.168,66,22.19,4.005,021,30
3.742,93,23.67,3.759,130,25
,,23.96,3.713,101,5308
3.663,100,24.29,3.663,040,14135
3.593,100,24.73,3.599,111,6786
,,26.07,3.417,031,7
3.351,97,26.92,3.312,121,561
,,28.70,3.110,140,8287
,,30.23,2.955,131,337
2.944,42,30.36,2.944,200,10571
2.817,34,,,,
2.658,22,32.78,2.732,220,234
2.641,21,34.17,2.623,150,1009
,,34.39,2.607,141,715
,,35.81,2.507,201,81
2.497,17,35.93,2.498,051,108
2.462,18,36.35,2.471,211,1256
2.392,18,37.60,2.392,002,9886
