Transition,Parameters,TLEA-0(+-0.01 ),TLEA-1(+-0.01 ),TLEA-6(+-0.01 ),TLEA-16(+-0.01 ),TLEA -24(+-0.01 )
4I15/2 - 4I13/2,A,1611.68,1823.66,1714.66,1689.37,277.78
,B,100,100.00,100.00,100.00,100.00
,trad,0.62,0.55,0.58,0.59,3.60
4I15/2 - 4I11/2,A,2422.60,3114.45,2779.67,2741.15,310.19
,B,64.74,58.23,63.19,63.07,54.06
,trad,0.41,0.32,0.36,0.36,3.22
4I15/2 - 4I9/2,A,9597.34,13077.43,11167.52,10994.08,1072.51
,B,98.97,98.86,98.95,98.94,98.36
,trad,0.10,0.08,0.09,0.09,0.93
4I15/2 - 4 F9/2,A,5810.51,7209.91,6597.51,6143.45,670.94
,B,61.83,58.37,61.02,58.88,56.69
,trad,0.17,0.14,0.15,0.16,1.49
4I15/2 - 4S3/2,A,42812.65,46086.19,48403.32,47439.30,4618.31
,B,97.3,97.08,97.32,97.95,97.37
,trad,0.02,0.02,0.02,0.02,0.22
