,IS (mm/s),QS (mm/s),G (mm/s),H (T),I (%)
250 degC,250 degC,250 degC,250 degC,250 degC,250 degC
Fe3+,0.36+-0.01,0.56+-0.05,1.01+-0.05,-,15.01
Goethite (a-FeOOH),0.38+-0.02,-0.17+-0.03,1.49+-0.06,42.73+-0.19,55.24
Hematite (a-Fe2O3),0.37+-0.01,-0.22+-0.02,0.60+-0.04,47.91+-0.08,29.75
,,,,,
500 degC,500 degC,500 degC,500 degC,500 degC,500 degC
Fe3+,0.23+-0.01,0.28+-0.08,0.80+-0.01,-,12.86
Goethite (a-FeOOH),0.35+-0.01,-0.15+-0.01,1.65+-0.15,38.42+-0.06,15.06
Hematite (a-Fe2O3),0.35+-0.01,-0.23+-0.01,0.67+-0.02,49.55+-0.04,72.08
,,,,,
1000 degC,1000 degC,1000 degC,1000 degC,1000 degC,1000 degC
Fe3+,0.31+-0.02,0.45+-0.05,0.80+-0.01,-,5.50
Hematite (a-Fe2O3),0.36+-0.01,-0.21+-0.01,0.57+-0.01,49.36+-0.01,94.50
,,,,,
200 degC,200 degC,200 degC,200 degC,200 degC,200 degC
Fe3+,0.30+-0.02,0.95+-0.04,0.60+-0.01,-,8.72
Hematite (a-Fe2O3),0.36+-0.01,-0.22+-0.01,0.38+-0.01,50.01+-0.07,91.28
,,,,,
1300 degC,1300 degC,1300 degC,1300 degC,1300 degC,1300 degC
Fe3+,0.29+-0.01,0.99+-0.02,0.49+-0.03,-,7.84
Hematite (a-Fe2O3),0.36+-0.01,-0.21+-0.01,0.40+-0.03,50.25+-0.01,92.16
