#,"CFe, wt%","Redox/Purity l, nm",2850,1075,700,550,378,300,223,205
1,0.0005,N/H,3.14,<0.01,<0.01,<0.01,<0.01,0.016,0.60,6.44
2,0.006,O/H,1.02,<0.01,<0.01,<0.01,<0.01,1.40,18.3,21.50
3,0.009,N/H,2.99,0.05,<0.01,<0.01,<0.01,0.52,7.27,14.67
4,0.009,O/H,0.57,0.015,<0.01,<0.01,0.03,3.97,,
5,0.025,N/H,3.10,0.13,0.05,<0.01,0.015,1.86,24.05,30.66
6,0.032,N/R,2.87,0.07,0.04,0.02,0.04,,,
7,0.059,O/H,1.14,0.17,0.08,0.03,0.07,11.04,,
8,0.069,O/R,2.55,0.18,0.07,0.01,0.08,,,
9,0.080,N/H,2.95,0.47,0.19,0.03,0.04,5.92,,
10,0.099,O/R,2.10,0.23,0.11,0.04,0.13,,,
11,0.100,O/R,2.21,0.22,0.11,0.05,0.13,,,
12,0.275,N/R,2.97,0.77,0.30,0.08,0.32,,,
13,0.287,O/R,2.43,0.60,0.26,0.08,0.38,,,
14,0.322,O/H,1.35,1.13,0.46,0.10,0.33,,,
15,0.328,N/H,1.32,1.32,0.51,0.11,0.30,,,
16,0.499,O/H,0.79,0.97,0.37,0.08,0.68,,,
17,0.550,N/H,1.46,1.72,0.66,0.13,0.62,,,
18,0.659,O/R,2.90,1.15,0.47,0.15,0.93,,,
19,0.666,N/R,3.12,1.67,0.66,0.17,0.83,,,
