Properties,Comparison 1,Comparison 1,Comparison 2,Comparison 2,Comparison 3,Comparison 3
Properties,Cell#A1,Cell#P1,Cell#A3,Cell#P2,Cell#A4,Cell#P3
D (%),8.4,9.2,16.3,16.3,21.8,21.4
,,,,,,
T(r) peak positions (nm),T(r) peak positions (nm),T(r) peak positions (nm),T(r) peak positions (nm),T(r) peak positions (nm),T(r) peak positions (nm),T(r) peak positions (nm)
Si-O,0.160,0.160,0.160,0.160,0.161,0.160
O-O,0.260,0.260,0.259,0.259,0.259,0.258
Si-Si,0.314,0.315,0.314,0.314,0.314,0.313
,,,,,,
Coordination numbers (%),Coordination numbers (%),Coordination numbers (%),Coordination numbers (%),Coordination numbers (%),Coordination numbers (%),Coordination numbers (%)
1-coord. O,0.7,0.2,0.5,,0.5,
2-coord. O,98.2,97.9,96.1,94.5,94.8,91.1
3-coord. O,1.1,1.9,3.4,5.5,4.7,8.9
3-coord. Si,0.6,,0.2,,0.4,
4-coord. Si,98.0,96.6,94.0,89.2,90.8,83.5
5-coord. Si,1.4,3.4,5.6,10.6,8.8,15.3
6-coord. Si,,0.2,,0.2,,1.2
,,,,,,
Average bond angles (deg),Average bond angles (deg),Average bond angles (deg),Average bond angles (deg),Average bond angles (deg),Average bond angles (deg),Average bond angles (deg)
O-Si-O,109.23,109.23,109.00,108.98,108.73,108.77
Si-O-Si,145.67,146.18,142.72,143.37,141.46,141.08
Si-Si-Si,106.98,107.42,105.54,106.10,104.76,104.68
,,,,,,
Elastic constants (GPa),Elastic constants (GPa),Elastic constants (GPa),Elastic constants (GPa),Elastic constants (GPa),Elastic constants (GPa),Elastic constants (GPa)
E,74.8+-9.0,80.4+-3.9,89.2+-12.7,95.2+-3.2,101.4+-19.4,93.9+-16.7
G,31.3+-4.9,34.2+-3.5,40.0+-1.9,39.6+-1.8,44.8+-2.3,37.3+-4.7
B,43.0+-6.0,38.3+-4.7,55.3+-7.3,50.3+-5.1,64.6+-6.2,54.8+-7.3
