,d (ppm),FWHM (ppm),I,d (ppm),FWHM (ppm),I,d (ppm),FWHM (ppm),I,d (ppm),FWHM (ppm),I
F0Si30,-76.6,9.3,81,-83.7,6.1,12,-90.1,6.2,7,,,
F10Si30,-76.9,9.1,69,-83.0,8.4,24,-91.0,8.3,7,,,
F15Si30,-77.4,8.5,68,-83.6,8.3,24,-90.2,9.2,8,,,
F20Si30,-77.1,8.3,66,-83.6,7.9,24,-91.5,11.5,10,,,
F30Si30,-77.5,8.1,59,-83.5,8.2,30,-91.6,10.0,11,,,
F0Si50,-79.6,9.0,28,-85.6,7.9,28,-93.0,10.0,35,-104.1,11.5,9
F5Si50,-79.8,9.0,23,-85.7,7.9,26,-93.0,9.9,40,-104.4,11.0,11
F10Si50,-79.1,10.8,23,-85.3,8.6,30,-93.1,10.1,39,-104.6,12.0,8
F15Si50,-79.4,7.8,14,-85.4,7.6,27,-93.2,10.0,47,-105.3,11.0,12
F20Si50,-79.4,7.9,10,-85.2,9.0,34,-93.4,9.5,43,-105.6,11.2,13
F0Si60,-78.4,9.5,13,-86.2,9.5,35,-94.4,9.3,36,-105.6,8.8,16
F5Si60,-78.0,9.8,11,-86.8,9.7,32,-94.9,9.5,37,-106.1,9.3,20
F10Si60,-79.0,9.8,7,-85.7,9.8,20,-94.2,9.8,43,-106.4,10.5,30
F20Si60,-79.5,10.5,7,-86.3,9.5,22,-94.8,9.7,38,-107.1,10.0,33
F30Si60,-79.7,9.0,6,-85.6,9.1,22,-94.1,9.5,38,-106.6,10.5,34
