Ca62/01,Ca62/01,Ca00/49,Ca00/49,CaMg44/13/21,CaMg44/13/21,Ca38/26,Ca38/26,Ca36/16,Ca36/16
T (K),V p (m/s),T (K),V p (m/s),T (K),V p (m/s),T (K),V p (m/s),T (K),V p (m/s)
293,6249,293,7032,293,6689,293,6649,293,6585
293,6249,293,7013,293,6654,293,6644,293,6594
293,6225,293,7018,356,6674,293,6644,293,6575
293,6210,293,7027,417,6691,293,6606,360,6584
370,6204,293,7027,483,6629,293,6673,438,6537
438,6198,353,7055,545,6628,345,6659,496,6545
506,6181,425,7005,602,6602,397,6637,566,6526
571,6208,485,7024,661,6630,470,6633,642,6498
634,6182,539,7047,716,6623,507,6585,718,6469
693,6159,595,7036,779,6622,539,6604,810,6446
748,6151,657,7041,839,6649,613,6610,880,6441
816,6159,723,7041,911,6615,682,6602,940,6430
873,6141,792,7043,984,6600,753,6560,998,6400
943,6149,865,6973,1063,6467,818,6542,1057,6329
1015,6123,942,7013,1136,6312,889,6543,1097,6221
1071,6106,1013,7030,1190,6216,954,6534,1130,6183
1129,5997,1067,6987,1258,6111,1020,6521,1172,6142
1176,5891,1127,7016,1711,4893,1067,6546,1213,6106
1205,5875,1185,6940,1778,4662,1117,6488,1259,6084
1271,5801,1236,6940,1867,4335,1168,6435,1328,5956
1715,4692,1293,6902,1974,4066,1201,6369,1840,4412
1765,4663,1908,4519,2075,3776,1245,6357,1948,4092
1834,4358,1960,4246,2235,3683,1279,6383,2034,4032
1900,4173,2010,4041,,,1315,6331,2149,3661
293,6243.4,293,7083,,,1368,6326,2375,3574
362,6238,293,7065,,,1394,6306,2630,3348
413,6148.3,611,7029,,,1438,6279,,
471,6194,742,7059,,,1464,6274,,
520,6118.7,845,7042,,,1537,6316,,
584,6182.5,976,7047,,,1570,6292,,
637,6234.7,1094,7009,,,1611,6246,,
684,6221.7,1189,7022,,,1661,6133,,
738,6246.7,1286,6954,,,1887,4745,,
786,6219.5,1319,6929,,,1979,4403,,
836,6244.6,1917,4833,,,2064,4162,,
910,6273.7,1952,4526,,,2148,3692,,
978,6239.4,1998,3779,,,2210,3135,,
1052,6244.4,2038,3685,,,2324,3125,,
1117,6039.2,2086,3237,,,2440,3010,,
1186,5903.4,293,7051,,,2550,2859,,
293,6175.7,,,,,,,,
1846,4369.6,,,,,,,,
1908,4236.4,,,,,,,,
1997,4036.2,,,,,,,,
2075,3779.8,,,,,,,,
2163,3641.8,,,,,,,,
2240,3464.9,,,,,,,,
2310,3275.2,,,,,,,,
