%Te,l 0 (nm),T g (degC),T s (degC),logr (Ocm),E (kcal/mol),r (g/cm3),V (cm3)
0,811,362,471,10.35,24.43,3.557,16.11
10,930,318,444,8.80,21.89,3.809,16.05
20,1012,307,422,7.95,19.87,3.987,16.29
30,1089,296,412,7.13,18.82,4.192,16.41
40,1145,273,399,6.55,18.09,4.364,16.64
50,1207,261,376,5.97,17.21,4.560,16.76
60,1252,265,364,5.52,16.31,4.706,17.05
70,1339,252,354,4.94,15.68,4.841,17.37
80,1389,253,331,4.63,14.87,5.000,17.58
90,1474,,317,4.12,14.17,5.135,17.86
100,1501,235,307,3.68,13.69,5.276,18.11
