,sba dry,sba dry,,sba-10,sba-10,,sba-11,sba-11,,sba-04,sba-04,,sba-03,sba-03,,sba-07,sba-07,,sba-08,sba-08
,T,C P,,T,C P,,T,C P,,T,C P,,T,C P,,T,C P,,T,C P
,K,J/molK,,K,J/molK,,K,J/molK,,K,J/molK,,K,J/molK,,K,J/molK,,K,J/molK
g,340.2,53.899,g,340.2,53.649,g,340.2,51.832,g,340.2,51.873,g,340.2,52.790,g,340.2,50.784,g,340.1,51.202
g,365.2,55.905,g,365.2,55.674,g,365.2,53.907,g,365.2,53.910,g,365.2,54.770,g,365.2,52.871,g,365.2,53.267
g,390.3,57.726,g,390.2,57.464,g,390.2,55.738,g,390.2,55.746,g,390.2,56.576,g,390.2,54.777,g,390.2,55.120
g,415.2,59.349,g,415.2,59.079,g,415.2,57.404,g,415.2,57.404,g,415.2,58.216,g,415.2,56.485,g,415.2,56.861
g,440.2,60.826,g,440.2,60.563,g,440.2,58.944,g,440.2,58.887,g,440.2,59.739,g,440.2,58.095,g,440.2,58.520
g,465.3,62.168,g,465.2,61.901,g,465.2,60.307,g,465.2,60.247,g,465.2,61.127,g,465.2,59.607,g,465.2,60.025
g,490.3,63.389,g,490.2,63.097,g,490.2,61.596,g,490.2,61.560,g,490.2,62.413,g,490.2,60.979,g,490.2,61.416
g,515.2,64.538,g,515.2,64.265,g,515.2,62.840,g,515.2,62.830,g,515.2,63.675,g,515.2,62.329,g,515.2,62.754
g,540.2,65.500,g,540.2,65.133,g,540.2,63.858,g,540.2,63.834,g,540.2,64.707,g,540.2,63.465,g,540.2,63.953
g,565.3,66.428,g,565.3,66.130,g,565.3,64.857,g,565.3,64.836,g,565.3,65.731,g,565.3,64.605,g,565.2,65.153
g,590.3,67.202,g,590.3,66.936,g,590.3,65.775,g,590.3,65.787,g,590.3,66.691,g,590.3,65.752,g,590.2,66.396
g,615.3,67.757,g,615.3,67.757,g,615.3,66.574,g,615.3,66.627,g,615.3,67.535,g,615.3,66.870,g,615.2,67.679
g,640.3,68.404,g,640.3,68.505,g,640.3,67.531,g,640.3,67.454,g,640.3,67.955,g,640.3,68.061,gt,640.3,69.163
g,665.3,69.606,g,665.3,69.472,g,665.3,68.342,g,665.3,68.280,g,665.3,69.796,g,665.3,69.316,gt,665.2,71.515
g,690.3,70.052,g,690.3,70.055,g,690.2,69.118,g,690.3,69.191,g,690.3,70.400,gt,690.2,70.920,gt,690.2,76.837
g,715.3,70.801,g,715.3,70.760,g,715.3,69.885,g,715.3,70.254,gt,715.3,71.723,gt,715.2,74.274,gt,715.2,88.734
g,740.3,71.461,g,740.3,71.446,g,740.3,70.679,gt,740.3,71.231,gt,740.3,74.034,gt,740.3,83.990,(l,740.3,104.22)
g,765.3,72.013,g,765.3,71.952,g,765.3,71.557,gt,765.3,72.579,gt,765.3,79.318,gt,765.2,95.406,(l,765.2,82.058)
g,790.3,72.480,g,790.3,72.478,gt,790.3,72.601,gt,790.3,74.622,gt,790.3,92.200,l,790.2,98.484,(l,790.2,67.571)
g,815.3,73.009,g,815.3,73.251,gt,815.3,73.648,gt,815.3,79.205,l,815.3,97.623,(l,815.3,118.76),,,
g,840.3,73.507,gt,840.3,74.061,gt,840.3,75.093,gt,840.3,93.312,l,840.3,95.633,(l,840.3,56.209),,,
g,865.3,73.973,gt,865.3,75.103,gt,865.3,77.381,l,865.3,97.322,,,,,,,,,
gt,890.3,74.485,gt,890.3,76.569,gt,890.3,86.728,l,890.3,95.762,,,,,,,,,
gt,915.3,75.145,gt,915.3,79.603,l,915.3,97.616,l,915.3,95.092,,,,,,,,,
gt,940.3,76.040,gt,940.3,93.098,l,940.3,95.979,,,,,,,,,,,,
gt,965.3,77.305,l,965.3,97.142,l,965.2,94.979,,,,,,,,,,,,
gt,990.3,79.461,l,990.3,95.710,,,,,,,,,,,,,,,
gt,1015,88.974,l,1015,95.543,,,,,,,,,,,,,,,
