Type of spectra,Name of glass,Implant,D (ions/cm2),g  z,g  x,g  y,DH  z  (mT),DH  y  (mT),DH  x  (mT)
A1,S-3,Ar+,3x1015,2.0165,2.009,2.0007,1,1,1
,,,,+-0.0010,+-0.001,+-0.0005,,,
A2,S-3,Ar+,3x1015,2.023,2.004,1.993,0.9,1.1,1.1
,,,,+-0.001,+-0.001,+-0.005,,,
B1,P-13,Na+,3x1015/1017,2.057,2.002,2.0005,3,0.7,0.7
,,,,+-0.005,+-0.001,+-0.0005,,,
B2,P-13,Na+,3x1015/1017,2.036,2.011,2.0020,3,0.9,0.9
,,,,+-0.005,+-0.01,+-0.0005,,,
S,P-1,Na+,3x1015/1017,2.0025,2.0025,2.0025,0.6,0.6,0.6
,,,,+-0.0005,+-0.0005,+-0.0005,,,
